修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,チケットの「修正内容」欄より引用,unmatched,,,,,未評価
計算表,S1、S2、S3、S5の数値を資料通りに修正する,partial,計算表/変更/S1,計算表変数:2,,,OK
計算表,(step1側のみ/ノイズ) S2,diff_only_ノイズ,計算表/変更/S2,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) S3,diff_only_ノイズ,計算表/変更/S3,計算表変数:4,,,-
計算表,(step1側のみ/ノイズ) S5,diff_only_ノイズ,計算表/変更/S5,計算表変数:6,,,-
計算表,(step1側のみ/ノイズ) QPD,diff_only_ノイズ,計算表/変更/QPD,計算表変数:10,,,-
計算表,(step1側のみ/ノイズ) CD:50,diff_only_ノイズ,計算表/追加/CD:50,計算表変数:50,,,-
計算表,(step1側のみ/ノイズ) CD:51,diff_only_ノイズ,計算表/追加/CD:51,計算表変数:51,,,-
計算表,(step1側のみ/ノイズ) CD:52,diff_only_ノイズ,計算表/追加/CD:52,計算表変数:52,,,-
計算表,(step1側のみ/ノイズ) CD:53,diff_only_ノイズ,計算表/追加/CD:53,計算表変数:53,,,-
計算表,(step1側のみ/ノイズ) CD:54,diff_only_ノイズ,計算表/追加/CD:54,計算表変数:54,,,-
計算表,(step1側のみ/ノイズ) CD:55,diff_only_ノイズ,計算表/追加/CD:55,計算表変数:55,,,-
計算表,(step1側のみ/ノイズ) CD:28,diff_only_ノイズ,計算表/削除/CD:28,計算表変数:28,,,-
計算表,(step1側のみ/ノイズ) CD:31,diff_only_ノイズ,計算表/削除/CD:31,計算表変数:31,,,-
計算表,(step1側のみ/ノイズ) CD:36,diff_only_ノイズ,計算表/削除/CD:36,計算表変数:36,,,-
計算表,(step1側のみ/ノイズ) CD:39,diff_only_ノイズ,計算表/削除/CD:39,計算表変数:39,,,-
計算表,(step1側のみ/ノイズ) CD:41,diff_only_ノイズ,計算表/削除/CD:41,計算表変数:41,,,-
計算表,(step1側のみ/ノイズ) CD:45,diff_only_ノイズ,計算表/削除/CD:45,計算表変数:45,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 2件,完全マッチ: 0,部分マッチ: 1,未マッチ: 1,,,緩和一致率: 50%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 1,
【最終判定】,,,,,,,最終一致率: 50%
【最終結論】,[要確認] 不足側Claude未評価1件,,,,,,
【step1側のみ(過剰)】,合計: 16,要確認候補: 0,ノイズ: 16,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 0,
