カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:39,P1a,3676000 * A + 32522000,5146000 * A + 45531000,計算式
計算表,変更,計算表変数:40,P1b,1460000 * A + 29865000,1986000 * A + 40616000,計算式
計算表,追加,計算表変数:54,CD:54,-,,計算式
計算表,追加,計算表変数:55,CD:55,-,,計算式
計算表,追加,計算表変数:56,BK,-,,計算式
計算表,削除,計算表変数:36,CD:36,,-,
計算表,削除,計算表変数:42,CD:42,,-,
質問,変更,質問No:2,施工歩掛,施工歩掛,施工歩掛,バージョン更新
質問,変更,質問No:3,内空形状,内空形状,内空形状,バージョン更新
質問,追加,質問No:6,施工歩掛,-,選択式,2026/04/09 20:03:45
質問,追加,質問No:7,省庁区分,-,選択式,2026/04/09 20:03:45
選択肢,変更,質問No:3,内空形状,1,1,選択肢テキスト変更(1行)
選択肢,変更,質問No:14,省庁区分,施工歩掛区分,分岐用,選択肢テキスト変更(1行)
選択肢,削除,質問No:2,施工歩掛,0.24,-,
フロー,変更,BoxNo:2,スライドセントル損料対象長,質問No:61 CallBox:[35],質問No:61 CallBox:[18],
フロー,変更,BoxNo:16,BoxNo:16,質問No:None CallBox:[35],質問No:None CallBox:[18],
フロー,変更,BoxNo:17,BoxNo:17,質問No:None CallBox:[35],質問No:None CallBox:[18],
フロー,追加,BoxNo:15,施工歩掛,-,質問No:6,CallBox→[終点]
フロー,追加,BoxNo:18,省庁区分,-,質問No:7,"CallBox→[BoxNo:19（Sitsumon未定義）, BoxNo:20（Sitsumon未定義）, BoxNo:21（Sitsumon未定義）]"
フロー,追加,BoxNo:19,BoxNo:19,-,質問No:None,CallBox→[施工歩掛]
フロー,追加,BoxNo:20,BoxNo:20,-,質問No:None,CallBox→[施工歩掛]
フロー,追加,BoxNo:21,BoxNo:21,-,質問No:None,CallBox→[施工歩掛]
