修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
計算表,分岐用の変数を作成,category_partial,(同カテゴリの差分あり),,,,OK
質問,NO14 分岐用の列を追加、作成した変数を設定してください,partial,質問/追加/施工歩掛,質問No:6,,,OK
質問,NO2を複写して新規作成,category_partial,(同カテゴリの差分あり),,,,OK
質問,複写で作成した質問表 / 値は変更後の数値のため修正前の状態へ,partial,質問/変更/施工歩掛,質問No:2,,,OK
質問,分岐用の質問表を作成してください / 計設定で新たに作成した変数を追加,partial,質問/追加/省庁区分,質問No:7,,,OK
計算表,(step1側のみ/ノイズ) P1a,diff_only_ノイズ,計算表/変更/P1a,計算表変数:39,,,-
計算表,(step1側のみ/ノイズ) P1b,diff_only_ノイズ,計算表/変更/P1b,計算表変数:40,,,-
計算表,(step1側のみ/ノイズ) CD:54,diff_only_ノイズ,計算表/追加/CD:54,計算表変数:54,,,-
計算表,(step1側のみ/ノイズ) CD:55,diff_only_ノイズ,計算表/追加/CD:55,計算表変数:55,,,-
計算表,(step1側のみ/ノイズ) BK,diff_only_ノイズ,計算表/追加/BK,計算表変数:56,,,-
計算表,(step1側のみ/ノイズ) CD:36,diff_only_ノイズ,計算表/削除/CD:36,計算表変数:36,,,-
計算表,(step1側のみ/ノイズ) CD:42,diff_only_ノイズ,計算表/削除/CD:42,計算表変数:42,,,-
質問,(step1側のみ/ノイズ) 内空形状,diff_only_ノイズ,質問/変更/内空形状,質問No:3,,,-
選択肢,(step1側のみ/ノイズ) 内空形状,diff_only_ノイズ,選択肢/変更/内空形状,質問No:3,,,-
選択肢,(step1側のみ/ノイズ) 省庁区分,diff_only_ノイズ,選択肢/変更/省庁区分,質問No:14,,,-
選択肢,(step1側のみ/ノイズ) 施工歩掛,diff_only_ノイズ,選択肢/削除/施工歩掛,質問No:2,,,-
フロー,(step1側のみ/ノイズ) スライドセントル損料対象長,diff_only_ノイズ,フロー/変更/スライドセントル損料対象長,BoxNo:2,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:16,diff_only_要確認(未解釈),フロー/変更/BoxNo:16,BoxNo:16,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:17,diff_only_要確認(未解釈),フロー/変更/BoxNo:17,BoxNo:17,,,-
フロー,(step1側のみ/ノイズ) 施工歩掛,diff_only_ノイズ,フロー/追加/施工歩掛,BoxNo:15,,,-
フロー,(step1側のみ/ノイズ) 省庁区分,diff_only_ノイズ,フロー/追加/省庁区分,BoxNo:18,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:19,diff_only_要確認(未解釈),フロー/追加/BoxNo:19,BoxNo:19,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:20,diff_only_要確認(未解釈),フロー/追加/BoxNo:20,BoxNo:20,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:21,diff_only_要確認(未解釈),フロー/追加/BoxNo:21,BoxNo:21,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 5件,完全マッチ: 0,部分マッチ: 5,未マッチ: 0,,,緩和一致率: 100%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 0,
【最終判定】,,,,,,,最終一致率: 100%
【最終結論】,[要確認] 過剰側Claude未解釈5件,,,,,,
【step1側のみ(過剰)】,合計: 19,要確認候補: 5,ノイズ: 14,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 5,
