カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,追加,代価表:5,TankaCD:32-2-101-32-1,-,3行,
代価表,削除,代価表:1,TankaCD:32-2-101-32-32,3行,-,
計算表,変更,計算表変数:2,S1',配管工(人/1口又は10口),特殊作業員(人/1口又は10口),名称変更
計算表,変更,計算表変数:3,S1'M,配管工(人/1口又は10口):補正計算,特殊作業員(人/1口又は10口):補正計算,名称変更
計算表,変更,計算表変数:4,S1a',配管工,特殊作業員,名称変更
計算表,変更,計算表変数:5,S1a'M,配管工 :補正計算,特殊作業員 :補正計算,名称変更
計算表,変更,計算表変数:10,S1,配管工 基準値,特殊作業員 基準値,名称変更
計算表,変更,計算表変数:68,S1b',配管工,特殊作業員,名称変更
計算表,変更,計算表変数:69,S1b'M,配管工 :補正計算,特殊作業員 :補正計算,名称変更
計算表,追加,計算表変数:121,CD:121,-,,計算式
計算表,追加,計算表変数:122,CD:122,-,,計算式
計算表,追加,計算表変数:123,CD:123,-,,計算式
計算表,追加,計算表変数:124,CD:124,-,,計算式
計算表,追加,計算表変数:125,CD:125,-,,計算式
計算表,追加,計算表変数:126,CD:126,-,,計算式
計算表,追加,計算表変数:127,CD:127,-,,計算式
計算表,追加,計算表変数:128,CD:128,-,,計算式
計算表,削除,計算表変数:112,CD:112,,-,
計算表,削除,計算表変数:113,CD:113,,-,
計算表,削除,計算表変数:114,CD:114,,-,
計算表,削除,計算表変数:115,CD:115,,-,
計算表,削除,計算表変数:116,CD:116,,-,
計算表,削除,計算表変数:117,CD:117,,-,
計算表,削除,計算表変数:118,HWK,1.0,-,
計算表,削除,計算表変数:119,CD:119,,-,
計算表,削除,計算表変数:120,CD:120,,-,
質問,変更,質問No:38,終点,配管材の据付・撤去区分,終点,表示名変更 / バージョン更新
質問,変更,質問No:39,配管材の据付・撤去区分,K~FT=1,配管材の据付・撤去区分,表示名変更 / バージョン更新
質問,変更,質問No:40,K~FT=1,AT=当り数量,K~FT=1,表示名変更 / バージョン更新
質問,変更,質問No:41,AT=当り数量,代価表2枚目,AT=当り数量,表示名変更
質問,変更,質問No:42,代価表2枚目,代価表1枚目,代価表2枚目,表示名変更
質問,変更,質問No:45,代価表1枚目,代価表2枚目,代価表1枚目,表示名変更
質問,変更,質問No:47,代価表2枚目,AT=当り数量,代価表2枚目,表示名変更
質問,変更,質問No:48,AT=当り数量,工種区分,AT=当り数量,表示名変更 / バージョン更新
質問,変更,質問No:49,工種区分,代価表1枚目,工種区分,表示名変更 / バージョン更新
質問,変更,質問No:50,代価表1枚目,代価表2枚目,代価表1枚目,表示名変更
質問,変更,質問No:51,代価表2枚目,AT=1,代価表2枚目,表示名変更 / バージョン更新
質問,変更,質問No:52,AT=1,代価表3枚目,AT=1,表示名変更 / バージョン更新
質問,変更,質問No:53,代価表3枚目,当り単位の選択,代価表3枚目,表示名変更 / バージョン更新
質問,変更,質問No:54,当り単位の選択,AT=1,当り単位の選択,表示名変更 / バージョン更新
質問,変更,質問No:55,AT=1,代価表3枚目,AT=1,表示名変更 / バージョン更新
質問,変更,質問No:56,代価表3枚目,配管材の据付・撤去区分,代価表3枚目,表示名変更 / バージョン更新
質問,変更,質問No:58,配管材の据付・撤去区分,終点,配管材の据付・撤去区分,表示名変更 / バージョン更新
質問,削除,質問No:31,配管工割増区分,-,-,2026/01/13 19:44:42
選択肢,変更,質問No:13,管切断1口当り歩掛,普通 普通作業員,普通 普通作業員,選択肢テキスト変更(1行)
選択肢,変更,質問No:14,ねじ込み接合2口当り歩掛,普通作業員 (人),普通作業員 (人),選択肢テキスト変更(1行)
選択肢,変更,質問No:15,ねじ切り1口当り歩掛,普通作業員 (人),普通作業員 (人),選択肢テキスト変更(1行)
選択肢,変更,質問No:25,1箇所(2口)当り継手工歩掛,普通 作業員 (人),普通 作業員 (人),選択肢テキスト変更(1行)
選択肢,変更,質問No:26,1箇所(2口)当り継手工歩掛,普通 作業員 (人),普通 作業員 (人),選択肢テキスト変更(1行)
