修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,】 / 配管工の単価は一括置換で作業済のためテストから行う / 配管工の文字は一括置換未対応のため作業から行う / 配管工の割増単価との切替動作は削除する,partial,代価表/削除/TankaCD:32-2-101-32-32,代価表:1,,,OK
?,以下のExcelに記載のテスト観点に従って確認し、修正必要な箇所があれば同時に対応する,unmatched,,,,,未評価
?,\\being.group\Being-組織\積算データ課\作業リスト\歩掛変更リスト\R8歩掛変更\09上水道\01_v23747_2026.4月下旬全国版(上水道 R8新旧表)\03_テストケース,partial,代価表/追加/TankaCD:32-2-101-32-1,代価表:5,,,OK
?,テストケース.xlsx,unmatched,,,,,未評価
?,|操作|期待結果|,unmatched,,,,,未評価
?,|任意で実行|下記以外、動作は商品と一致,unmatched,,,,,未評価
?,配管工は計上されず、特殊作業員の数量は資料通り,unmatched,,,,,未評価
?,配管工割増区分の動作が削除されている|,partial,計算表/削除/CD:112,計算表変数:112,,,OK
計算表,(step1側のみ/ノイズ) S1',diff_only_ノイズ,計算表/変更/S1',計算表変数:2,,,-
計算表,(step1側のみ/ノイズ) S1'M,diff_only_ノイズ,計算表/変更/S1'M,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) S1a',diff_only_ノイズ,計算表/変更/S1a',計算表変数:4,,,-
計算表,(step1側のみ/ノイズ) S1a'M,diff_only_ノイズ,計算表/変更/S1a'M,計算表変数:5,,,-
計算表,(step1側のみ/ノイズ) S1,diff_only_ノイズ,計算表/変更/S1,計算表変数:10,,,-
計算表,(step1側のみ/ノイズ) S1b',diff_only_ノイズ,計算表/変更/S1b',計算表変数:68,,,-
計算表,(step1側のみ/ノイズ) S1b'M,diff_only_ノイズ,計算表/変更/S1b'M,計算表変数:69,,,-
計算表,(step1側のみ/ノイズ) CD:121,diff_only_ノイズ,計算表/追加/CD:121,計算表変数:121,,,-
計算表,(step1側のみ/ノイズ) CD:122,diff_only_ノイズ,計算表/追加/CD:122,計算表変数:122,,,-
計算表,(step1側のみ/ノイズ) CD:123,diff_only_ノイズ,計算表/追加/CD:123,計算表変数:123,,,-
計算表,(step1側のみ/ノイズ) CD:124,diff_only_ノイズ,計算表/追加/CD:124,計算表変数:124,,,-
計算表,(step1側のみ/ノイズ) CD:125,diff_only_ノイズ,計算表/追加/CD:125,計算表変数:125,,,-
計算表,(step1側のみ/ノイズ) CD:126,diff_only_ノイズ,計算表/追加/CD:126,計算表変数:126,,,-
計算表,(step1側のみ/ノイズ) CD:127,diff_only_ノイズ,計算表/追加/CD:127,計算表変数:127,,,-
計算表,(step1側のみ/ノイズ) CD:128,diff_only_ノイズ,計算表/追加/CD:128,計算表変数:128,,,-
計算表,(step1側のみ/ノイズ) CD:113,diff_only_ノイズ,計算表/削除/CD:113,計算表変数:113,,,-
計算表,(step1側のみ/ノイズ) CD:114,diff_only_ノイズ,計算表/削除/CD:114,計算表変数:114,,,-
計算表,(step1側のみ/ノイズ) CD:115,diff_only_ノイズ,計算表/削除/CD:115,計算表変数:115,,,-
計算表,(step1側のみ/ノイズ) CD:116,diff_only_ノイズ,計算表/削除/CD:116,計算表変数:116,,,-
計算表,(step1側のみ/ノイズ) CD:117,diff_only_ノイズ,計算表/削除/CD:117,計算表変数:117,,,-
計算表,(step1側のみ/ノイズ) HWK,diff_only_ノイズ,計算表/削除/HWK,計算表変数:118,,,-
計算表,(step1側のみ/ノイズ) CD:119,diff_only_ノイズ,計算表/削除/CD:119,計算表変数:119,,,-
計算表,(step1側のみ/ノイズ) CD:120,diff_only_ノイズ,計算表/削除/CD:120,計算表変数:120,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/変更/終点,質問No:38,,,-
質問,(step1側のみ/ノイズ) 配管材の据付・撤去区分,diff_only_ノイズ,質問/変更/配管材の据付・撤去区分,質問No:39,,,-
質問,(step1側のみ/ノイズ) K~FT=1,diff_only_ノイズ,質問/変更/K~FT=1,質問No:40,,,-
質問,(step1側のみ/ノイズ) AT=当り数量,diff_only_ノイズ,質問/変更/AT=当り数量,質問No:41,,,-
質問,(step1側のみ/ノイズ) 代価表2枚目,diff_only_ノイズ,質問/変更/代価表2枚目,質問No:42,,,-
質問,(step1側のみ/ノイズ) 代価表1枚目,diff_only_ノイズ,質問/変更/代価表1枚目,質問No:45,,,-
