カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:2,D,"if(O~atk == 1, D2, if(O~atk == 3, D4, if(O~atk == 2, D3, D1)))","if(O~atk == 1, D2, if(O~atk == 3, D4, if(O~atk == 2, D3, if(O~atk == 4, D5, D1))))",計算式
計算表,変更,計算表変数:6,D4,,m/日,単位変更
計算表,変更,計算表変数:6,D4,1日当り仮設備の作業回数:固定丸め,1日当り作業量 :固定丸め,名称変更
計算表,変更,計算表変数:7,D5,,(60*8)/SG*KE,計算式
計算表,変更,計算表変数:11,<トラックに送る変数>,1.0,,固定値→計算式
計算表,変更,計算表変数:12,Rd2a,31.0,1.0,固定値
計算表,変更,計算表変数:13,Nd2a,1.2,31.0,固定値
計算表,変更,計算表変数:14,Sd2a,4.0,1.2,固定値
計算表,変更,計算表変数:15,NK2a,2.9,4.0,固定値
計算表,変更,計算表変数:16,NK2ba,2.0,2.9,固定値
計算表,変更,計算表変数:17,NFG1a,1.0,2.0,固定値
計算表,変更,計算表変数:20,NFa,22.0,1.0,固定値
計算表,変更,計算表変数:21,FG1a,99999.0,22.0,固定値
計算表,変更,計算表変数:22,Ka,2.0,99999.0,固定値
計算表,変更,計算表変数:24,dFGa,1.0,2.0,固定値
計算表,変更,計算表変数:25,tFGa,,1.0,計算式→固定値
計算表,変更,計算表変数:27,<発動発電機へ送る変数>,21.0,,固定値→計算式
計算表,変更,計算表変数:28,FG1b,99999.0,21.0,固定値
計算表,変更,計算表変数:29,Kb,2.0,99999.0,固定値
計算表,変更,計算表変数:30,NFG1b,11.0,2.0,固定値
計算表,変更,計算表変数:31,Nfg2b,45.0,11.0,固定値
計算表,変更,計算表変数:32,NK2b,1.0,45.0,固定値
計算表,変更,計算表変数:33,NFb,0,1.0,計算式→固定値
計算表,変更,計算表変数:34,RFb,34.0,0,固定値→計算式
計算表,変更,計算表変数:35,Nd2b,1.2,34.0,固定値
計算表,変更,計算表変数:36,Sd2b,,1.2,計算式→固定値
計算表,変更,計算表変数:43,KK,D,,計算式
計算表,変更,計算表変数:44,QPD,,D,計算式
計算表,追加,計算表変数:47,O~atk,-,,計算式
質問設定,変更,質問No:3,KE,変数:KE / 計算表変数:8 / 規格名計上:あり / 単位:ｍ,変数:KE / 計算表変数:9 / 規格名計上:あり / 単位:ｍ,変更項目: KeisanItemCD
