修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,修正方法,unmatched,,,,,未評価
?,変数D5を追加、計算式はD1と同じ、丸めを小数第3位を四捨五入にする,matched,計算表/追加/O~atk,計算表変数:47,,,OK
?,変数Dの計算式にO~atk＝4の時D5が採用されるよう修正する　※O~atk＝2の後に判別式を入れる,matched,計算表/変更/D,計算表変数:2,,,OK
計算表,(step1側のみ/ノイズ) D4,diff_only_ノイズ,計算表/変更/D4,計算表変数:6,,,-
計算表,(step1側のみ/ノイズ) D4,diff_only_ノイズ,計算表/変更/D4,計算表変数:6,,,-
計算表,(step1側のみ/ノイズ) D5,diff_only_ノイズ,計算表/変更/D5,計算表変数:7,,,-
計算表,(step1側のみ/ノイズ) <トラックに送る変数>,diff_only_ノイズ,計算表/変更/<トラックに送る変数>,計算表変数:11,,,-
計算表,(step1側のみ/ノイズ) Rd2a,diff_only_ノイズ,計算表/変更/Rd2a,計算表変数:12,,,-
計算表,(step1側のみ/ノイズ) Nd2a,diff_only_ノイズ,計算表/変更/Nd2a,計算表変数:13,,,-
計算表,(step1側のみ/ノイズ) Sd2a,diff_only_ノイズ,計算表/変更/Sd2a,計算表変数:14,,,-
計算表,(step1側のみ/ノイズ) NK2a,diff_only_ノイズ,計算表/変更/NK2a,計算表変数:15,,,-
計算表,(step1側のみ/ノイズ) NK2ba,diff_only_ノイズ,計算表/変更/NK2ba,計算表変数:16,,,-
計算表,(step1側のみ/ノイズ) NFG1a,diff_only_ノイズ,計算表/変更/NFG1a,計算表変数:17,,,-
計算表,(step1側のみ/ノイズ) NFa,diff_only_ノイズ,計算表/変更/NFa,計算表変数:20,,,-
計算表,(step1側のみ/ノイズ) FG1a,diff_only_ノイズ,計算表/変更/FG1a,計算表変数:21,,,-
計算表,(step1側のみ/ノイズ) Ka,diff_only_ノイズ,計算表/変更/Ka,計算表変数:22,,,-
計算表,(step1側のみ/ノイズ) dFGa,diff_only_ノイズ,計算表/変更/dFGa,計算表変数:24,,,-
計算表,(step1側のみ/ノイズ) tFGa,diff_only_ノイズ,計算表/変更/tFGa,計算表変数:25,,,-
計算表,(step1側のみ/ノイズ) <発動発電機へ送る変数>,diff_only_ノイズ,計算表/変更/<発動発電機へ送る変数>,計算表変数:27,,,-
計算表,(step1側のみ/ノイズ) FG1b,diff_only_ノイズ,計算表/変更/FG1b,計算表変数:28,,,-
計算表,(step1側のみ/ノイズ) Kb,diff_only_ノイズ,計算表/変更/Kb,計算表変数:29,,,-
計算表,(step1側のみ/ノイズ) NFG1b,diff_only_ノイズ,計算表/変更/NFG1b,計算表変数:30,,,-
計算表,(step1側のみ/ノイズ) Nfg2b,diff_only_ノイズ,計算表/変更/Nfg2b,計算表変数:31,,,-
計算表,(step1側のみ/ノイズ) NK2b,diff_only_ノイズ,計算表/変更/NK2b,計算表変数:32,,,-
計算表,(step1側のみ/ノイズ) NFb,diff_only_ノイズ,計算表/変更/NFb,計算表変数:33,,,-
計算表,(step1側のみ/ノイズ) RFb,diff_only_ノイズ,計算表/変更/RFb,計算表変数:34,,,-
計算表,(step1側のみ/ノイズ) Nd2b,diff_only_ノイズ,計算表/変更/Nd2b,計算表変数:35,,,-
計算表,(step1側のみ/ノイズ) Sd2b,diff_only_ノイズ,計算表/変更/Sd2b,計算表変数:36,,,-
計算表,(step1側のみ/ノイズ) KK,diff_only_ノイズ,計算表/変更/KK,計算表変数:43,,,-
計算表,(step1側のみ/ノイズ) QPD,diff_only_ノイズ,計算表/変更/QPD,計算表変数:44,,,-
質問設定,(step1側のみ/要確認(未解釈)) KE,diff_only_要確認(未解釈),質問設定/変更/KE,質問No:3,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 3件,完全マッチ: 2,部分マッチ: 0,未マッチ: 1,,,緩和一致率: 67%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 1,
【最終判定】,,,,,,,最終一致率: 67%
【最終結論】,[要確認] 不足側Claude未評価1件 / 過剰側Claude未解釈1件,,,,,,
【step1側のみ(過剰)】,合計: 28,要確認候補: 1,ノイズ: 27,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 1,
