カテゴリ,変更種別,ID,名称,旧値,新値,備考
質問,変更,質問No:24,モルタル練工,終点,モルタル練工,表示名変更 / バージョン更新
質問,変更,質問No:25,終点,モルタル配合比,終点,表示名変更
質問,変更,質問No:26,モルタル配合比,セメント種類,モルタル配合比,表示名変更 / バージョン更新
質問,追加,質問No:27,セメント種類,-,選択式,2025/07/31 22:02:32
質問,追加,質問No:28,モルタル配合比,-,選択式,2026/01/29 22:44:50
質問,追加,質問No:29,セメント種類,-,選択式,2025/07/31 22:02:32
質問設定,追加,質問No:24,モルタル練工,-,子代価呼出,
選択肢,追加,質問No:16,モルタル選択区分,-,配合比選択区分(大阪市),
フロー,変更,BoxNo:3,モルタル選択区分,"質問No:16 CallBox:[4, 16, 27]","質問No:16 CallBox:[4, 16, 27, 38]",
フロー,変更,BoxNo:9,終点,質問No:24 CallBox:[],質問No:25 CallBox:[],
フロー,変更,BoxNo:16,モルタル配合比,"質問No:25 CallBox:[21, 22, 23]","質問No:26 CallBox:[25, 22, 23]",
フロー,変更,BoxNo:28,セメント種類,質問No:26 CallBox:[29],質問No:27 CallBox:[29],
フロー,追加,BoxNo:35,モルタル練工,-,質問No:24,CallBox→[終点]
フロー,追加,BoxNo:36,モルタル配合比,-,質問No:28,CallBox→[モルタル練工]
フロー,追加,BoxNo:37,セメント種類,-,質問No:29,CallBox→[モルタル配合比]
フロー,追加,BoxNo:38,BoxNo:38,-,質問No:None,CallBox→[セメント種類]
フロー,削除,BoxNo:21,BoxNo:21,質問No:None,-,
