カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:8,SA,"if(O~pre == 39,
 if(O~Org == 2, sa2, sa1), sa1)","if(O~SAM == 1, sa3,
 if(O~pre == 39,
  if(O~Org == 2, sa2, sa1), sa1))",計算式
計算表,変更,計算表変数:11,sa3,,N1 * k1 * k2,計算式
計算表,変更,計算表変数:16,k2,"if(C1==1,A3,(A1+A2))",,計算式
計算表,変更,計算表変数:17,A,,"if(C1==1,A3,(A1+A2))",計算式
計算表,変更,計算表変数:18,A3,W*L,,計算式
計算表,変更,計算表変数:19,A1,,W*L,計算式
計算表,変更,計算表変数:21,L,H1*L2,,計算式
計算表,変更,計算表変数:22,A2,,H1*L2,計算式
計算表,変更,計算表変数:26,<足場工費:施工費>,AT * SEK~K,,計算式
計算表,変更,計算表変数:27,SC,((S1 * X) + ((N1 * k1 * k2) * y1)) * A,AT * SEK~K,計算式
計算表,変更,計算表変数:28,TCs,((S1 * X) + ((N1 * k1 * k2) * y1)),((S1 * X) + ((N1 * k1 * k2) * y1)) * A,計算式
計算表,変更,計算表変数:29,TCm,,((S1 * X) + ((N1 * k1 * k2) * y1)),計算式
計算表,変更,計算表変数:31,<日当り施工量>,"if(C==1,Q1/k1/k2/A,Q1/k1/k2)",,計算式
計算表,変更,計算表変数:32,QPD,,"if(C==1,Q1/k1/k2/A,Q1/k1/k2)",計算式
計算表,変更,計算表変数:38,KK,"if(O~kts > 0, O~kts, 1)",,計算式
計算表,変更,計算表変数:39,KTS,,"if(O~kts > 0, O~kts, 1)",計算式
計算表,変更,計算表変数:40,AT,"if(KTS == 2, 3, if(MIF_6 > 0, MIF_6, 2))",,計算式
計算表,変更,計算表変数:41,mif_6,"if(dkl==1,0,1)","if(KTS == 2, 3, if(MIF_6 > 0, MIF_6, 2))",計算式
計算表,変更,計算表変数:42,Le~K,,"if(dkl==1,0,1)",計算式
計算表,変更,計算表変数:45,y,"y*if(a~4wh > 1,~4WHR,1)",,計算式
計算表,変更,計算表変数:46,y1,"if(DKLK > 0, DKLK, if(DKL~K > 0, DKL~K, 0 ))","y*if(a~4wh > 1,~4WHR,1)",計算式
計算表,変更,計算表変数:47,dklK,,"if(DKLK > 0, DKLK, if(DKL~K > 0, DKL~K, 0 ))",計算式
計算表,変更,計算表変数:59,CD:59,2.0,,固定値→計算式
計算表,変更,計算表変数:61,LEV_E,,2.0,計算式→固定値
計算表,変更,計算表変数:64,a~4wh,SAs,,計算式
計算表,変更,計算表変数:65,~4WHR,SBs,,計算式
計算表,変更,計算表変数:66,D1R,SC,SAs,計算式
計算表,変更,計算表変数:67,D2R,TCs,SBs,計算式
計算表,変更,計算表変数:68,D3R,SAm,SC,計算式
計算表,変更,計算表変数:69,D3T,SBm,TCs,計算式
計算表,変更,計算表変数:70,D1R2,TCm,SAm,計算式
計算表,変更,計算表変数:71,D2R2,1.0,SBm,固定値→計算式
計算表,追加,計算表変数:72,D3T2,-,TCm,計算式
計算表,追加,計算表変数:73,ASVar,-,1.0,固定値
質問設定,変更,質問No:2,X,変数:X / 計算表変数:12 / 規格名計上:あり / 単位:月,変数:X / 計算表変数:13 / 規格名計上:あり / 単位:月,変更項目: KeisanItemCD
質問設定,変更,質問No:7,A3,変数:A3 / 計算表変数:17 / 規格名計上:なし / 単位:m2,変数:A3 / 計算表変数:18 / 規格名計上:なし / 単位:m2,変更項目: KeisanItemCD
質問設定,変更,質問No:8,W,変数:W / 計算表変数:19 / 規格名計上:なし / 単位:  ｍ,変数:W / 計算表変数:20 / 規格名計上:なし / 単位:  ｍ,変更項目: KeisanItemCD
質問設定,変更,質問No:9,L,変数:L / 計算表変数:20 / 規格名計上:なし / 単位:ｍ,変数:L / 計算表変数:21 / 規格名計上:なし / 単位:ｍ,変更項目: KeisanItemCD
質問設定,変更,質問No:12,A3,変数:A3 / 計算表変数:17 / 規格名計上:なし / 単位:m2,変数:A3 / 計算表変数:18 / 規格名計上:なし / 単位:m2,変更項目: KeisanItemCD
質問設定,変更,質問No:13,H1,変数:H1 / 計算表変数:22 / 規格名計上:なし / 単位:ｍ,変数:H1 / 計算表変数:23 / 規格名計上:なし / 単位:ｍ,変更項目: KeisanItemCD
質問設定,変更,質問No:14,L2,変数:L2 / 計算表変数:23 / 規格名計上:なし / 単位:ｍ,変数:L2 / 計算表変数:24 / 規格名計上:なし / 単位:ｍ,変更項目: KeisanItemCD
