カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,変更,代価表:1,TankaCD:32-2101-3-32-694,1行,2行,行数変更
代価表,変更,代価表:2,TankaCD:32-2-101-33-276,1行,2行,行数変更
代価表,変更,代価表:3,TankaCD:32-1-102-32-6188,1行,2行,行数変更
代価表,変更,代価表:4,TankaCD:32-1-102-32-6301,1行,2行,行数変更
代価表,追加,代価表:5,TankaCD:32-1-102-32-6188,-,2行,
代価表,追加,代価表:6,TankaCD:32-1-102-32-6301,-,2行,
代価表,追加,代価表:7,TankaCD:32-1-102-32-6188,-,2行,
代価表,追加,代価表:8,TankaCD:32-1-102-32-6301,-,2行,
代価表,追加,代価表:9,TankaCD:32-1-102-32-6188,-,2行,
代価表,追加,代価表:10,TankaCD:32-1-102-32-6301,-,2行,
代価表,追加,代価表:11,TankaCD:32-1-102-32-6188,-,2行,
代価表,追加,代価表:12,TankaCD:32-1-102-32-6301,-,2行,
代価表,追加,代価表:13,TankaCD:32-1-102-32-6188,-,2行,
代価表,追加,代価表:14,TankaCD:32-1-102-32-6301,-,2行,
計算表,変更,計算表変数:2,S1,s1 * n,"s1 * if(kk == 2, sh, n)",計算式
計算表,変更,計算表変数:21,pk1,,"if(pz1==1,S21,S21')",計算式
計算表,変更,計算表変数:22,S21,S1,S21a,計算式
計算表,変更,計算表変数:23,S21a,1.0,,固定値→計算式
計算表,追加,計算表変数:24,S21',-,S21a',計算式
計算表,追加,計算表変数:25,S21a',-,,計算式
計算表,追加,計算表変数:26,kk1,-,"if(kz1 == 1, S31L, if(kz1 == 2, S31kg,S31'))",計算式
計算表,追加,計算表変数:27,S31L,-,S21 * S31a / 100 / 0.85,計算式
計算表,追加,計算表変数:28,S31kg,-,S21 * S31a / 100,計算式
計算表,追加,計算表変数:29,S31a,-,,計算式
計算表,追加,計算表変数:30,S31',-,S31a',計算式
計算表,追加,計算表変数:31,S31a',-,,計算式
計算表,追加,計算表変数:32,pz1,-,,計算式
計算表,追加,計算表変数:33,kz1,-,,計算式
計算表,追加,計算表変数:34,sk1,-,,計算式
計算表,追加,計算表変数:35,CD:35,-,,計算式
計算表,追加,計算表変数:36,<2層目>,-,,計算式
計算表,追加,計算表変数:37,pk2,-,"if(pz2==1,S22,S22')",計算式
計算表,追加,計算表変数:38,S22,-,S22a,計算式
計算表,追加,計算表変数:39,S22a,-,,計算式
計算表,追加,計算表変数:40,S22',-,S22a',計算式
計算表,追加,計算表変数:41,S22a',-,,計算式
計算表,追加,計算表変数:42,kk2,-,"if(kz2 == 1, S32L, if(kz2 == 2, S32kg,S32'))",計算式
計算表,追加,計算表変数:43,S32L,-,S22 * S32a / 100 / 0.85,計算式
計算表,追加,計算表変数:44,S32kg,-,S22 * S32a / 100,計算式
計算表,追加,計算表変数:45,S32a,-,,計算式
計算表,追加,計算表変数:46,S32',-,S32a',計算式
計算表,追加,計算表変数:47,S32a',-,,計算式
計算表,追加,計算表変数:48,pz2,-,,計算式
計算表,追加,計算表変数:49,kz2,-,,計算式
