修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
代価表,(step1側のみ/ノイズ) TankaCD:32-2101-3-32-694,diff_only_ノイズ,代価表/変更/TankaCD:32-2101-3-32-694,代価表:1,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-2-101-33-276,diff_only_ノイズ,代価表/変更/TankaCD:32-2-101-33-276,代価表:2,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6188,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-32-6188,代価表:3,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6301,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-32-6301,代価表:4,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6188,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6188,代価表:5,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6301,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6301,代価表:6,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6188,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6188,代価表:7,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6301,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6301,代価表:8,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6188,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6188,代価表:9,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6301,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6301,代価表:10,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6188,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6188,代価表:11,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6301,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6301,代価表:12,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6188,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6188,代価表:13,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-6301,diff_only_ノイズ,代価表/追加/TankaCD:32-1-102-32-6301,代価表:14,,,-
計算表,(step1側のみ/ノイズ) S1,diff_only_ノイズ,計算表/変更/S1,計算表変数:2,,,-
計算表,(step1側のみ/ノイズ) pk1,diff_only_ノイズ,計算表/変更/pk1,計算表変数:21,,,-
計算表,(step1側のみ/ノイズ) S21,diff_only_ノイズ,計算表/変更/S21,計算表変数:22,,,-
計算表,(step1側のみ/ノイズ) S21a,diff_only_ノイズ,計算表/変更/S21a,計算表変数:23,,,-
計算表,(step1側のみ/ノイズ) S21',diff_only_ノイズ,計算表/追加/S21',計算表変数:24,,,-
計算表,(step1側のみ/ノイズ) S21a',diff_only_ノイズ,計算表/追加/S21a',計算表変数:25,,,-
計算表,(step1側のみ/ノイズ) kk1,diff_only_ノイズ,計算表/追加/kk1,計算表変数:26,,,-
計算表,(step1側のみ/ノイズ) S31L,diff_only_ノイズ,計算表/追加/S31L,計算表変数:27,,,-
計算表,(step1側のみ/ノイズ) S31kg,diff_only_ノイズ,計算表/追加/S31kg,計算表変数:28,,,-
計算表,(step1側のみ/ノイズ) S31a,diff_only_ノイズ,計算表/追加/S31a,計算表変数:29,,,-
計算表,(step1側のみ/ノイズ) S31',diff_only_ノイズ,計算表/追加/S31',計算表変数:30,,,-
計算表,(step1側のみ/ノイズ) S31a',diff_only_ノイズ,計算表/追加/S31a',計算表変数:31,,,-
計算表,(step1側のみ/ノイズ) pz1,diff_only_ノイズ,計算表/追加/pz1,計算表変数:32,,,-
計算表,(step1側のみ/ノイズ) kz1,diff_only_ノイズ,計算表/追加/kz1,計算表変数:33,,,-
計算表,(step1側のみ/ノイズ) sk1,diff_only_ノイズ,計算表/追加/sk1,計算表変数:34,,,-
計算表,(step1側のみ/ノイズ) CD:35,diff_only_ノイズ,計算表/追加/CD:35,計算表変数:35,,,-
計算表,(step1側のみ/ノイズ) <2層目>,diff_only_ノイズ,計算表/追加/<2層目>,計算表変数:36,,,-
計算表,(step1側のみ/ノイズ) pk2,diff_only_ノイズ,計算表/追加/pk2,計算表変数:37,,,-
計算表,(step1側のみ/ノイズ) S22,diff_only_ノイズ,計算表/追加/S22,計算表変数:38,,,-
計算表,(step1側のみ/ノイズ) S22a,diff_only_ノイズ,計算表/追加/S22a,計算表変数:39,,,-
計算表,(step1側のみ/ノイズ) S22',diff_only_ノイズ,計算表/追加/S22',計算表変数:40,,,-
