軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,作業区分,fix,6,作業区分,,SitsumonKind=19,
AX-002,施工面積,fix,18,施工面積,,SitsumonKind=17,
AX-003,塗装回数,fix,15,塗装回数,,SitsumonKind=17,
AX-004,資材計上区分,vary,1,資材計上区分,業務ルール: 資材計上区分の切替が代価表数量に影響,SitsumonKind=19,
AX-005,ペイント材料費の単位選択,fix,9,ペイント材料費の単位選択,,SitsumonKind=19,
AX-006,条件選択,fix,16,条件選択,,SitsumonKind=19,
AX-007,ペイント標準使用量(エアレススプレー塗),fix,21,ペイント標準使用量(エアレススプレー塗),,SitsumonKind=19,
AX-008,希釈剤材料費の単位選択,fix,12,希釈剤材料費の単位選択,,SitsumonKind=19,
AX-009,素地調整費計上区分,fix,10,素地調整費計上区分,,SitsumonKind=19,
AX-010,層数区分,vary,20,層数区分,新規追加質問,SitsumonKind=19,
AX-011,条件選択(2層目),vary,24,条件選択(2層目),新規追加質問,SitsumonKind=19,
AX-012,ペイント材料費の単位選択(1層目),vary,45,ペイント材料費の単位選択(1層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-013,ペイント標準使用量(エアレススプレー塗)(1層目),vary,48,ペイント標準使用量(エアレススプレー塗)(1層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-014,希釈剤材料費の単位選択(1層目),vary,55,希釈剤材料費の単位選択(1層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-015,ペイント材料費の単位選択(2層目),vary,61,ペイント材料費の単位選択(2層目),選択肢追加,SitsumonKind=19,
AX-016,ペイント標準使用量(エアレススプレー塗)(2層目),vary,64,ペイント標準使用量(エアレススプレー塗)(2層目),新規追加質問,SitsumonKind=19,
AX-017,希釈剤材料費の単位選択(2層目),vary,72,希釈剤材料費の単位選択(2層目),新規追加質問,SitsumonKind=19,
