軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,作業区分,fix,6,作業区分,絞り込みで強制(vary到達経路),SitsumonKind=19,6
AX-002,施工面積,fix,18,施工面積,,SitsumonKind=17,
AX-003,層数区分,vary,20,層数区分,新規追加質問,SitsumonKind=19,
AX-004,資材計上区分,vary,178,資材計上区分,業務ルール: 資材計上区分の切替が代価表数量に影響,SitsumonKind=19,
AX-005,ペイント材料費の単位選択(1層目),vary,45,ペイント材料費の単位選択(1層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-006,条件選択,fix,187,条件選択,,SitsumonKind=19,
AX-007,ペイント標準使用量(エアレススプレー塗)(1層目),vary,48,ペイント標準使用量(エアレススプレー塗)(1層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-008,希釈剤材料費の単位選択(1層目),vary,55,希釈剤材料費の単位選択(1層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-009,ペイント材料費の単位選択(2層目),vary,61,ペイント材料費の単位選択(2層目),選択肢追加,SitsumonKind=19,
AX-010,条件選択(2層目),vary,24,条件選択(2層目),新規追加質問,SitsumonKind=19,
AX-011,ペイント標準使用量(エアレススプレー塗)(2層目),vary,64,ペイント標準使用量(エアレススプレー塗)(2層目),新規追加質問,SitsumonKind=19,
AX-012,希釈剤材料費の単位選択(2層目),vary,72,希釈剤材料費の単位選択(2層目),新規追加質問,SitsumonKind=19,
AX-013,素地調整費計上区分,fix,10,素地調整費計上区分,,SitsumonKind=19,
AX-014,条件選択(2層目),vary,28,条件選択(2層目),新規追加質問,SitsumonKind=19,
AX-015,条件選択(2層目),vary,31,条件選択(2層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-016,条件選択(3層目),vary,32,条件選択(3層目),選択肢追加,SitsumonKind=19,
AX-017,条件選択(4層目),vary,35,条件選択(4層目),選択肢追加,SitsumonKind=19,
AX-018,条件選択(5層目),vary,38,条件選択(5層目),選択肢追加,SitsumonKind=19,
AX-019,条件選択(6層目),vary,41,条件選択(6層目),選択肢追加,SitsumonKind=19,
AX-020,ペイント標準使用量(プライマ処理)(1層目),vary,46,ペイント標準使用量(プライマ処理)(1層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-021,ペイント標準使用量(はけ塗)(1層目),vary,51,ペイント標準使用量(はけ塗)(1層目),選択肢追加,SitsumonKind=19,
AX-022,100m2・1回当りのペイント使用量(1層目),vary,54,100m2・1回当りのペイント使用量(1層目),選択肢削除,SitsumonKind=17,
AX-023,100m2・1回当りの希釈剤使用量(1層目),vary,57,100m2・1回当りの希釈剤使用量(1層目),選択肢削除,SitsumonKind=17,
AX-024,ペイント標準使用量(プライマ処理)(2層目),vary,62,ペイント標準使用量(プライマ処理)(2層目),選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-025,ペイント標準使用量(エアレススプレー塗)(2層目),vary,65,ペイント標準使用量(エアレススプレー塗)(2層目),新規追加質問,SitsumonKind=19,
AX-026,ペイント標準使用量(エアレススプレー塗)(2層目),vary,66,ペイント標準使用量(エアレススプレー塗)(2層目),新規追加質問,SitsumonKind=19,
AX-027,ペイント標準使用量(はけ塗)(2層目),vary,67,ペイント標準使用量(はけ塗)(2層目),新規追加質問,SitsumonKind=19,
AX-028,100m2・1回当りのペイント使用量(2層目),vary,70,100m2・1回当りのペイント使用量(2層目),新規追加質問,SitsumonKind=17,
AX-029,100m2・1回当りの希釈剤使用量(2層目),vary,74,100m2・1回当りの希釈剤使用量(2層目),新規追加質問,SitsumonKind=17,
AX-030,ペイント材料費の単位選択(3層目),vary,78,ペイント材料費の単位選択(3層目),新規追加質問,SitsumonKind=19,
AX-031,ペイント標準使用量(エアレススプレー塗)(3層目),vary,81,ペイント標準使用量(エアレススプレー塗)(3層目),新規追加質問,SitsumonKind=19,
AX-032,希釈剤材料費の単位選択(3層目),vary,89,希釈剤材料費の単位選択(3層目),新規追加質問,SitsumonKind=19,
AX-033,ペイント材料費の単位選択(4層目),vary,95,ペイント材料費の単位選択(4層目),新規追加質問,SitsumonKind=19,
AX-034,ペイント標準使用量(エアレススプレー塗)(4層目),vary,98,ペイント標準使用量(エアレススプレー塗)(4層目),新規追加質問,SitsumonKind=19,
AX-035,希釈剤材料費の単位選択(4層目),vary,106,希釈剤材料費の単位選択(4層目),新規追加質問,SitsumonKind=19,
AX-036,ペイント材料費の単位選択(5層目),vary,112,ペイント材料費の単位選択(5層目),新規追加質問,SitsumonKind=19,
AX-037,ペイント標準使用量(エアレススプレー塗)(5層目),vary,115,ペイント標準使用量(エアレススプレー塗)(5層目),新規追加質問,SitsumonKind=19,
AX-038,希釈剤材料費の単位選択(5層目),vary,123,希釈剤材料費の単位選択(5層目),新規追加質問,SitsumonKind=19,
AX-039,ペイント材料費の単位選択(6層目),vary,129,ペイント材料費の単位選択(6層目),新規追加質問,SitsumonKind=19,
AX-040,ペイント標準使用量(エアレススプレー塗)(6層目),vary,132,ペイント標準使用量(エアレススプレー塗)(6層目),新規追加質問,SitsumonKind=19,
AX-041,希釈剤材料費の単位選択(6層目),vary,140,希釈剤材料費の単位選択(6層目),新規追加質問,SitsumonKind=19,
