カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:8,S3,"if(DSK == 2, 1, if(SQ == 1, S2a, 1))",(1*LD) / 10,計算式
計算表,変更,計算表変数:9,S2,1 / T,"if(DSK == 2, 1, if(SQ == 1, S2a, 1))",計算式
計算表,変更,計算表変数:10,S2a,100/QD,1 / T,計算式
計算表,変更,計算表変数:11,LD,"if(MK == 1, Q1, if(ZK == 1, Q2, Q3))",100/QD,計算式
計算表,変更,計算表変数:12,Q,60*q*E/Cm,"if(MK == 1, Q1, if(ZK == 1, Q2, Q3))",計算式
計算表,変更,計算表変数:13,Q',Q',60*q*E/Cm,計算式
計算表,変更,計算表変数:16,Q3,,Q',計算式
計算表,変更,計算表変数:17,q,t1+t2+t3+t4,,計算式
計算表,変更,計算表変数:18,Cm,0.95,t1+t2+t3+t4,固定値→計算式
計算表,変更,計算表変数:19,E,"if(tkf == 1, t1a, t1b)",0.95,計算式→固定値
計算表,変更,計算表変数:20,t1,,"if(tkf == 1, t1a, t1b)",計算式
計算表,変更,計算表変数:21,t1a,KI*BC/60,,計算式
計算表,変更,計算表変数:22,t1b,q/BY,KI*BC/60,計算式
計算表,変更,計算表変数:23,KI,,q/BY,計算式
計算表,変更,計算表変数:25,BC,2*L/V,,計算式
計算表,変更,計算表変数:26,t2,2.0,2*L/V,固定値→計算式
計算表,変更,計算表変数:27,t3,,2.0,計算式→固定値
計算表,変更,計算表変数:30,V,6.9,,固定値→計算式
計算表,変更,計算表変数:31,T,,6.9,計算式→固定値
計算表,変更,計算表変数:33,<内部変数>,QD,,計算式
計算表,変更,計算表変数:34,QPD,,QD,計算式
計算表,変更,計算表変数:35,FG1,FG1*10+K,,計算式
計算表,変更,計算表変数:36,FGSK,2.1,FG1*10+K,固定値→計算式
計算表,変更,計算表変数:37,SF,"if(SQF > 0, SQF, if(O~pre == 27, if(O~Org == 2, 1, 0), 0))",2.1,計算式→固定値
計算表,変更,計算表変数:38,SQ,,"if(SQF > 0, SQF, if(O~pre == 27, if(O~Org == 2, 1, 0), 0))",計算式
計算表,変更,計算表変数:45,<不整地運搬車運転費:共通>,2.0,,固定値→計算式
計算表,変更,計算表変数:46,FG,,2.0,計算式→固定値
計算表,変更,計算表変数:47,FG1a,2.0,,固定値→計算式
計算表,変更,計算表変数:48,FG2,,2.0,計算式→固定値
計算表,変更,計算表変数:49,K,1.0,,固定値→計算式
計算表,変更,計算表変数:50,KH,2.0,1.0,固定値
計算表,変更,計算表変数:54,SFG,,2.0,計算式→固定値
計算表,変更,計算表変数:58,<不整地運搬車運転費:標準値を適用>,2.0,,固定値→計算式
計算表,変更,計算表変数:59,RFG,1.0,2.0,固定値
計算表,変更,計算表変数:60,RD2,,1.0,計算式→固定値
計算表,変更,計算表変数:61,NFG,2.18,,計算式
計算表,変更,計算表変数:62,Sd2,Kn/Un,2.18,計算式
計算表,変更,計算表変数:64,Sd2b,,Kn/Un,計算式
計算表,変更,計算表変数:68,<不整地運搬車運転費:工種指定の値>,1.0,,固定値→計算式
計算表,変更,計算表変数:69,DKK,,1.0,計算式→固定値
計算表,変更,計算表変数:73,RF,1.0,,固定値→計算式
計算表,変更,計算表変数:74,NF,15.0,1.0,固定値
計算表,変更,計算表変数:75,NSC,,15.0,計算式→固定値
