修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,計算表に10t用の変数と下記の質問で計設定に使用する変数を追加する,matched,計算表/追加/D2R,計算表変数:108,,,OK
計算表,(step1側のみ/ノイズ) S3,diff_only_ノイズ,計算表/変更/S3,計算表変数:8,,,-
計算表,(step1側のみ/ノイズ) S2,diff_only_ノイズ,計算表/変更/S2,計算表変数:9,,,-
計算表,(step1側のみ/ノイズ) S2a,diff_only_ノイズ,計算表/変更/S2a,計算表変数:10,,,-
計算表,(step1側のみ/ノイズ) LD,diff_only_ノイズ,計算表/変更/LD,計算表変数:11,,,-
計算表,(step1側のみ/ノイズ) Q,diff_only_ノイズ,計算表/変更/Q,計算表変数:12,,,-
計算表,(step1側のみ/ノイズ) Q',diff_only_ノイズ,計算表/変更/Q',計算表変数:13,,,-
計算表,(step1側のみ/ノイズ) Q3,diff_only_ノイズ,計算表/変更/Q3,計算表変数:16,,,-
計算表,(step1側のみ/ノイズ) q,diff_only_ノイズ,計算表/変更/q,計算表変数:17,,,-
計算表,(step1側のみ/ノイズ) Cm,diff_only_ノイズ,計算表/変更/Cm,計算表変数:18,,,-
計算表,(step1側のみ/ノイズ) E,diff_only_ノイズ,計算表/変更/E,計算表変数:19,,,-
計算表,(step1側のみ/ノイズ) t1,diff_only_ノイズ,計算表/変更/t1,計算表変数:20,,,-
計算表,(step1側のみ/ノイズ) t1a,diff_only_ノイズ,計算表/変更/t1a,計算表変数:21,,,-
計算表,(step1側のみ/ノイズ) t1b,diff_only_ノイズ,計算表/変更/t1b,計算表変数:22,,,-
計算表,(step1側のみ/ノイズ) KI,diff_only_ノイズ,計算表/変更/KI,計算表変数:23,,,-
計算表,(step1側のみ/ノイズ) BC,diff_only_ノイズ,計算表/変更/BC,計算表変数:25,,,-
計算表,(step1側のみ/ノイズ) t2,diff_only_ノイズ,計算表/変更/t2,計算表変数:26,,,-
計算表,(step1側のみ/ノイズ) t3,diff_only_ノイズ,計算表/変更/t3,計算表変数:27,,,-
計算表,(step1側のみ/ノイズ) V,diff_only_ノイズ,計算表/変更/V,計算表変数:30,,,-
計算表,(step1側のみ/ノイズ) T,diff_only_ノイズ,計算表/変更/T,計算表変数:31,,,-
計算表,(step1側のみ/ノイズ) <内部変数>,diff_only_ノイズ,計算表/変更/<内部変数>,計算表変数:33,,,-
計算表,(step1側のみ/ノイズ) QPD,diff_only_ノイズ,計算表/変更/QPD,計算表変数:34,,,-
計算表,(step1側のみ/ノイズ) FG1,diff_only_ノイズ,計算表/変更/FG1,計算表変数:35,,,-
計算表,(step1側のみ/ノイズ) FGSK,diff_only_ノイズ,計算表/変更/FGSK,計算表変数:36,,,-
計算表,(step1側のみ/ノイズ) SF,diff_only_ノイズ,計算表/変更/SF,計算表変数:37,,,-
計算表,(step1側のみ/ノイズ) SQ,diff_only_ノイズ,計算表/変更/SQ,計算表変数:38,,,-
計算表,(step1側のみ/ノイズ) <不整地運搬車運転費:共通>,diff_only_ノイズ,計算表/変更/<不整地運搬車運転費:共通>,計算表変数:45,,,-
