カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,追加,代価表:15,TankaCD:32-101-3-32-20301,-,1行,
代価表,追加,代価表:16,TankaCD:32-101-3-32-38571,-,1行,
代価表,追加,代価表:17,TankaCD:32-101-3-32-38572,-,1行,
計算表,追加,計算表変数:80,S10,-,,計算式
計算表,追加,計算表変数:81,CD:81,-,,計算式
計算表,追加,計算表変数:82,CD:82,-,,計算式
計算表,追加,計算表変数:83,TEK1,-,,計算式
計算表,追加,計算表変数:84,TEK2,-,,計算式
計算表,追加,計算表変数:85,TES,-,,計算式
計算表,追加,計算表変数:86,sijyo,-,@1,計算式
計算表,追加,計算表変数:87,CD:87,-,,計算式
計算表,追加,計算表変数:88,KOUK,-,,計算式
計算表,追加,計算表変数:89,TEKK,-,,計算式
計算表,追加,計算表変数:90,CD:90,-,,計算式
計算表,追加,計算表変数:91,CD:91,-,,計算式
計算表,追加,計算表変数:92,CD:92,-,,計算式
計算表,追加,計算表変数:93,CD:93,-,,計算式
計算表,追加,計算表変数:94,CD:94,-,,計算式
計算表,追加,計算表変数:95,CD:95,-,,計算式
計算表,追加,計算表変数:96,CD:96,-,,計算式
計算表,追加,計算表変数:97,<発注者マスタより受け取る変数>,-,,計算式
計算表,追加,計算表変数:98,O~TEK,-,1.0,固定値
計算表,追加,計算表変数:99,Lv~TE,-,2.0,固定値
計算表,追加,計算表変数:100,O~TES,-,,計算式
計算表,追加,計算表変数:101,Lv~TS,-,,計算式
計算表,追加,計算表変数:102,D10R,-,S10*TES,計算式
計算表,追加,計算表変数:103,D11R,-,S10*TEK1,計算式
計算表,追加,計算表変数:104,D12R,-,S10*TEK2,計算式
計算表,追加,計算表変数:105,D14B,-,S5,計算式
計算表,追加,計算表変数:106,D15B,-,S6,計算式
計算表,追加,計算表変数:107,D16B,-,S7,計算式
計算表,追加,計算表変数:108,D17R,-,S14,計算式
計算表,削除,計算表変数:55,D11B,S5,-,
計算表,削除,計算表変数:56,D12B,S6,-,
計算表,削除,計算表変数:57,D13B,S7,-,
計算表,削除,計算表変数:58,D10S,,-,
計算表,削除,計算表変数:70,D14R,S14,-,
計算表,削除,計算表変数:71,CD:71,,-,
計算表,削除,計算表変数:72,CD:72,,-,
計算表,削除,計算表変数:73,CD:73,,-,
計算表,削除,計算表変数:74,CD:74,,-,
計算表,削除,計算表変数:75,CD:75,,-,
計算表,削除,計算表変数:76,CD:76,,-,
計算表,削除,計算表変数:77,CD:77,,-,
計算表,削除,計算表変数:78,CD:78,,-,
計算表,削除,計算表変数:79,CD:79,,-,
質問,変更,質問No:32,鉄筋工市場単価,鉄筋工,鉄筋工市場単価,表示名変更 / バージョン更新
質問,変更,質問No:45,鉄筋径,フロー切替:適用労務切替(山林砂防工),鉄筋径,表示名変更 / バージョン更新
質問,変更,質問No:46,鉄筋加工,10=代価表1枚目5行目,鉄筋加工,表示名変更 / バージョン更新
質問,変更,質問No:47,構造物種別,10=代価表1枚目6行目,構造物種別,表示名変更 / バージョン更新
質問,変更,質問No:48,鉄筋組立(一般構造物),10=代価表1枚目7行目,鉄筋組立(一般構造物),表示名変更 / バージョン更新
質問,変更,質問No:49,鉄筋組立(橋梁用床版),10=代価表1枚目8行目,鉄筋組立(橋梁用床版),表示名変更 / バージョン更新
質問,変更,質問No:50,鉄筋組立(場所打鉄筋かご),10=代価表1枚目9行目,鉄筋組立(場所打鉄筋かご),表示名変更 / バージョン更新
質問,変更,質問No:51,鉄筋組立(トンネル内構造物),0=代価表1枚目9行目,鉄筋組立(トンネル内構造物),表示名変更 / バージョン更新
質問,変更,質問No:52,鉄筋組立(差筋および杭頭処理),0=代価表1枚目8行目,鉄筋組立(差筋および杭頭処理),表示名変更 / バージョン更新
質問,変更,質問No:53,10本当り杭体内補強鉄筋数量,0=代価表1枚目7行目,10本当り杭体内補強鉄筋数量,表示名変更 / バージョン更新
質問,変更,質問No:54,市場単価採用誌判定,0=代価表1枚目6行目,市場単価採用誌判定,表示名変更 / バージョン更新
質問,変更,質問No:56,鉄筋工(標準歩掛・市場単価)計上方法,TdS=1,鉄筋工(標準歩掛・市場単価)計上方法,表示名変更 / バージョン更新
質問,変更,質問No:57,S10=0,終点,S10=0,表示名変更 / 実行種別変更(None→必ず実行) / バージョン更新
質問,変更,質問No:58,フロー切替:適用労務切替(山林砂防工),0=代価表1枚目10行目,フロー切替:適用労務切替(山林砂防工),表示名変更
質問,変更,質問No:59,10=代価表1枚目5行目,SK=1,10=代価表1枚目5行目,表示名変更 / バージョン更新
質問,変更,質問No:60,10=代価表1枚目6行目,SK=0,10=代価表1枚目6行目,表示名変更 / バージョン更新
質問,変更,質問No:61,10=代価表1枚目7行目,終点,10=代価表1枚目7行目,表示名変更 / 実行種別変更(None→必ず実行) / バージョン更新
質問,変更,質問No:62,10=代価表1枚目8行目,D10S,10=代価表1枚目8行目,表示名変更 / 実行種別変更(None→必ず実行) / バージョン更新
質問,追加,質問No:19,鉄筋工代価表計上方法,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:20,鉄筋工,-,SitsumonKind:11,2026/05/02 05:11:41
質問,追加,質問No:29,構造物種別,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:33,鉄筋径,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:37,鉄筋径,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:63,10=代価表1枚目9行目,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:64,0=代価表1枚目9行目,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:65,0=代価表1枚目8行目,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:66,0=代価表1枚目7行目,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:67,0=代価表1枚目6行目,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:68,0=代価表1枚目5行目,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:69,TdS=1,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:70,終点,-,終点,2017/04/01 00:00:00
質問,追加,質問No:71,フロー切替:鉄筋工(標準歩掛・市場単価)計上方法(旧積上,-,SitsumonKind:119,2017/04/01 00:00:00
質問,追加,質問No:72,SK=1,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:73,SK=0,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:74,終点,-,終点,2017/04/01 00:00:00
質問,追加,質問No:75,鉄筋径,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:76,鉄筋径,-,選択式,2026/05/02 05:11:41
質問,追加,質問No:77,終点,-,終点,2017/04/01 00:00:00
質問,追加,質問No:78,終点,-,終点,2017/04/01 00:00:00
質問,追加,質問No:79,鉄筋工市場単価,-,SitsumonKind:11,2026/05/02 05:11:41
質問,追加,質問No:80,フロー切替:鉄筋工代価表計上方法,-,SitsumonKind:119,2017/04/01 00:00:00
質問,削除,質問No:30,10本当り杭体内補強鉄筋数量,-,-,2017/04/01 00:00:00
質問,削除,質問No:55,0=代価表1枚目5行目,-,-,2017/04/01 00:00:00
質問設定,追加,質問No:20,鉄筋工,-,子代価呼出,
質問設定,追加,質問No:46,鉄筋加工,-,子代価呼出,
質問設定,追加,質問No:48,鉄筋組立(一般構造物),-,子代価呼出,
質問設定,追加,質問No:49,鉄筋組立(橋梁用床版),-,子代価呼出,
質問設定,追加,質問No:50,鉄筋組立(場所打鉄筋かご),-,子代価呼出,
質問設定,追加,質問No:51,鉄筋組立(トンネル内構造物),-,子代価呼出,
質問設定,追加,質問No:52,鉄筋組立(差筋および杭頭処理),-,子代価呼出,
質問設定,追加,質問No:53,S10,-,変数:S10 / 計算表変数:80 / 規格名計上:なし,規格名計上:なし
質問設定,削除,質問No:30,D10S,変数:D10S / 計算表変数:58 / 規格名計上:なし,-,
選択肢,変更,質問No:47,構造物種別,,構造物種別,選択肢テキスト変更(2行)
選択肢,変更,質問No:54,市場単価採用誌判定,,市場単価計上,選択肢テキスト変更(2行)
選択肢,変更,質問No:56,鉄筋工(標準歩掛・市場単価)計上方法,,鉄筋工(標準歩掛・市場単価)計上方法,選択肢テキスト変更(2行)
選択肢,追加,質問No:45,鉄筋径,-,,
選択肢,追加,質問No:45,鉄筋径,-,,
選択肢,追加,質問No:45,鉄筋径,-,鉄筋径区分,
選択肢,追加,質問No:45,鉄筋径,-,1,
選択肢,追加,質問No:45,鉄筋径,-,2,
選択肢,追加,質問No:45,鉄筋径,-,3,
選択肢,追加,質問No:45,鉄筋径,-,4,
選択肢,追加,質問No:47,構造物種別,-,橋梁用床版,
選択肢,追加,質問No:47,構造物種別,-,場所打鉄筋かご,
選択肢,追加,質問No:47,構造物種別,-,トンネル内構造物,
選択肢,追加,質問No:47,構造物種別,-,差筋および杭頭処理,
選択肢,追加,質問No:54,市場単価採用誌判定,-,0,
選択肢,追加,質問No:56,鉄筋工(標準歩掛・市場単価)計上方法,-,0,
選択肢,追加,質問No:57,S10=0,-,,
選択肢,追加,質問No:57,S10=0,-,,
選択肢,追加,質問No:57,S10=0,-,,
選択肢,追加,質問No:57,S10=0,-,0,
選択肢,追加,質問No:61,10=代価表1枚目7行目,-,,
選択肢,追加,質問No:61,10=代価表1枚目7行目,-,,
選択肢,追加,質問No:61,10=代価表1枚目7行目,-,,
選択肢,追加,質問No:61,10=代価表1枚目7行目,-,10,
選択肢,追加,質問No:62,10=代価表1枚目8行目,-,,
選択肢,追加,質問No:62,10=代価表1枚目8行目,-,,
選択肢,追加,質問No:62,10=代価表1枚目8行目,-,,
選択肢,追加,質問No:62,10=代価表1枚目8行目,-,10,
選択肢,削除,質問No:46,鉄筋加工,,-,
選択肢,削除,質問No:46,鉄筋加工,,-,
選択肢,削除,質問No:46,鉄筋加工,,-,
選択肢,削除,質問No:46,鉄筋加工,10,-,
選択肢,削除,質問No:48,鉄筋組立(一般構造物),,-,
選択肢,削除,質問No:48,鉄筋組立(一般構造物),,-,
選択肢,削除,質問No:48,鉄筋組立(一般構造物),,-,
選択肢,削除,質問No:48,鉄筋組立(一般構造物),10,-,
選択肢,削除,質問No:49,鉄筋組立(橋梁用床版),,-,
選択肢,削除,質問No:49,鉄筋組立(橋梁用床版),,-,
選択肢,削除,質問No:49,鉄筋組立(橋梁用床版),,-,
選択肢,削除,質問No:49,鉄筋組立(橋梁用床版),10,-,
選択肢,削除,質問No:50,鉄筋組立(場所打鉄筋かご),,-,
選択肢,削除,質問No:50,鉄筋組立(場所打鉄筋かご),,-,
選択肢,削除,質問No:50,鉄筋組立(場所打鉄筋かご),,-,
選択肢,削除,質問No:50,鉄筋組立(場所打鉄筋かご),10,-,
選択肢,削除,質問No:51,鉄筋組立(トンネル内構造物),,-,
選択肢,削除,質問No:51,鉄筋組立(トンネル内構造物),,-,
選択肢,削除,質問No:51,鉄筋組立(トンネル内構造物),,-,
選択肢,削除,質問No:51,鉄筋組立(トンネル内構造物),0,-,
選択肢,削除,質問No:52,鉄筋組立(差筋および杭頭処理),,-,
選択肢,削除,質問No:52,鉄筋組立(差筋および杭頭処理),,-,
選択肢,削除,質問No:52,鉄筋組立(差筋および杭頭処理),,-,
選択肢,削除,質問No:52,鉄筋組立(差筋および杭頭処理),0,-,
選択肢,削除,質問No:53,10本当り杭体内補強鉄筋数量,,-,
選択肢,削除,質問No:53,10本当り杭体内補強鉄筋数量,,-,
選択肢,削除,質問No:53,10本当り杭体内補強鉄筋数量,,-,
選択肢,削除,質問No:53,10本当り杭体内補強鉄筋数量,0,-,
選択肢,削除,質問No:58,フロー切替:適用労務切替(山林砂防工),,-,
選択肢,削除,質問No:58,フロー切替:適用労務切替(山林砂防工),,-,
選択肢,削除,質問No:58,フロー切替:適用労務切替(山林砂防工),,-,
選択肢,削除,質問No:58,フロー切替:適用労務切替(山林砂防工),0,-,
フロー,変更,BoxNo:1,市場単価採用誌判定,"質問No:2 CallBox:[2, 3]","質問No:54 CallBox:[2, 3]",
フロー,変更,BoxNo:2,鉄筋工市場単価,質問No:3 CallBox:[4],質問No:32 CallBox:[4],
フロー,変更,BoxNo:3,鉄筋工(標準歩掛・市場単価)計上方法,質問No:4 CallBox:[4],"質問No:56 CallBox:[5, 6]",
フロー,変更,BoxNo:4,終点,質問No:61 CallBox:[],質問No:78 CallBox:[],
フロー,変更,BoxNo:5,鉄筋工市場単価,"質問No:5 CallBox:[12, 13, 14]",質問No:79 CallBox:[4],
フロー,変更,BoxNo:6,フロー切替:鉄筋工代価表計上方法,質問No:8 CallBox:[7],質問No:80 CallBox:[4],
フロー,変更,BoxNo:7,鉄筋径,質問No:10 CallBox:[19],質問No:45 CallBox:[10],
フロー,変更,BoxNo:8,鉄筋径,質問No:23 CallBox:[9],質問No:75 CallBox:[10],
フロー,変更,BoxNo:9,鉄筋径,質問No:24 CallBox:[54],質問No:76 CallBox:[10],
フロー,変更,BoxNo:10,鉄筋加工,質問No:21 CallBox:[63],質問No:46 CallBox:[11],
フロー,変更,BoxNo:11,構造物種別,質問No:22 CallBox:[8],"質問No:47 CallBox:[12, 13, 14, 15, 16]",
フロー,変更,BoxNo:12,鉄筋組立(一般構造物),質問No:34 CallBox:[2],質問No:48 CallBox:[17],
フロー,変更,BoxNo:13,鉄筋組立(橋梁用床版),質問No:35 CallBox:[2],質問No:49 CallBox:[17],
フロー,変更,BoxNo:14,鉄筋組立(場所打鉄筋かご),質問No:36 CallBox:[2],質問No:50 CallBox:[17],
フロー,変更,BoxNo:15,鉄筋組立(トンネル内構造物),質問No:38 CallBox:[17],質問No:51 CallBox:[17],
フロー,変更,BoxNo:16,鉄筋組立(差筋および杭頭処理),質問No:39 CallBox:[17],質問No:52 CallBox:[17],
フロー,変更,BoxNo:17,終点,"質問No:7 CallBox:[71, 72]",質問No:77 CallBox:[],
フロー,変更,BoxNo:19,10=代価表1枚目5行目,質問No:46 CallBox:[20],質問No:59 CallBox:[20],
フロー,変更,BoxNo:23,10=代価表1枚目6行目,質問No:47 CallBox:[24],質問No:60 CallBox:[24],
フロー,変更,BoxNo:27,10=代価表1枚目7行目,質問No:48 CallBox:[28],質問No:61 CallBox:[28],
フロー,変更,BoxNo:31,10=代価表1枚目8行目,質問No:49 CallBox:[32],質問No:62 CallBox:[32],
フロー,変更,BoxNo:35,10=代価表1枚目9行目,質問No:50 CallBox:[73],質問No:63 CallBox:[73],
フロー,変更,BoxNo:36,0=代価表1枚目9行目,質問No:51 CallBox:[73],質問No:64 CallBox:[73],
フロー,変更,BoxNo:37,0=代価表1枚目8行目,質問No:52 CallBox:[34],質問No:65 CallBox:[34],
フロー,変更,BoxNo:38,0=代価表1枚目7行目,質問No:53 CallBox:[29],質問No:66 CallBox:[29],
フロー,変更,BoxNo:39,0=代価表1枚目6行目,質問No:54 CallBox:[26],質問No:67 CallBox:[26],
フロー,変更,BoxNo:40,0=代価表1枚目5行目,質問No:55 CallBox:[22],質問No:68 CallBox:[22],
フロー,変更,BoxNo:41,BoxNo:41,質問No:None CallBox:[70],質問No:None CallBox:[3],
フロー,変更,BoxNo:46,TdS=1,質問No:56 CallBox:[5],質問No:69 CallBox:[5],
フロー,変更,BoxNo:54,終点,質問No:57 CallBox:[],質問No:70 CallBox:[],
フロー,変更,BoxNo:66,フロー切替:鉄筋工(標準歩掛・市場単価)計上方法(旧積上,質問No:32 CallBox:[68],質問No:71 CallBox:[68],
フロー,変更,BoxNo:68,10本当り杭体内補強鉄筋数量,質問No:30 CallBox:[75],質問No:53 CallBox:[4],
フロー,変更,BoxNo:71,SK=1,質問No:59 CallBox:[6],質問No:72 CallBox:[6],
フロー,変更,BoxNo:72,SK=0,質問No:60 CallBox:[18],質問No:73 CallBox:[18],
フロー,削除,BoxNo:70,0=代価表1枚目10行目,質問No:58,-,
フロー,削除,BoxNo:75,D10S,質問No:62,-,
