修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,チケットの「内部設計」欄より引用,unmatched,,,,,未評価
?,令和8年度にて「鉄筋工代価表計上方法」の対応完了後のＸＭＬからスタート* / 令和7年動作追加,matched,質問/追加/鉄筋工代価表計上方法,質問No:19,,,OK
?,サブルーチンから鉄筋工(標準歩掛･市場単価)計上方法(旧積上　パネルを持ってくる,matched,質問/追加/フロー切替:鉄筋工(標準歩掛・市場単価)計上方法(旧積上,質問No:71,,,OK
?,メインパネルは、R8で使用していた「鉄筋工代価表計上方法」パネルへの切り替えコマンドを「鉄筋工(標準歩掛･市場単価)計上方法(旧積上」に変更する / 参考工種：65-1-32-20228　鋼管･既製ｺﾝｸﾘｰﾄ杭打工(中掘工) 打撃･既製ｺ,matched,フロー/変更/フロー切替:鉄筋工(標準歩掛・市場単価)計上方法(旧積上,BoxNo:66,,,OK
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-101-3-32-20301,diff_only_要確認(未解釈),代価表/追加/TankaCD:32-101-3-32-20301,代価表:15,,,-
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-101-3-32-38571,diff_only_要確認(未解釈),代価表/追加/TankaCD:32-101-3-32-38571,代価表:16,,,-
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-101-3-32-38572,diff_only_要確認(未解釈),代価表/追加/TankaCD:32-101-3-32-38572,代価表:17,,,-
計算表,(step1側のみ/ノイズ) S10,diff_only_ノイズ,計算表/追加/S10,計算表変数:80,,,-
計算表,(step1側のみ/ノイズ) CD:81,diff_only_ノイズ,計算表/追加/CD:81,計算表変数:81,,,-
計算表,(step1側のみ/ノイズ) CD:82,diff_only_ノイズ,計算表/追加/CD:82,計算表変数:82,,,-
計算表,(step1側のみ/ノイズ) TEK1,diff_only_ノイズ,計算表/追加/TEK1,計算表変数:83,,,-
計算表,(step1側のみ/ノイズ) TEK2,diff_only_ノイズ,計算表/追加/TEK2,計算表変数:84,,,-
計算表,(step1側のみ/ノイズ) TES,diff_only_ノイズ,計算表/追加/TES,計算表変数:85,,,-
計算表,(step1側のみ/ノイズ) sijyo,diff_only_ノイズ,計算表/追加/sijyo,計算表変数:86,,,-
計算表,(step1側のみ/ノイズ) CD:87,diff_only_ノイズ,計算表/追加/CD:87,計算表変数:87,,,-
計算表,(step1側のみ/ノイズ) KOUK,diff_only_ノイズ,計算表/追加/KOUK,計算表変数:88,,,-
計算表,(step1側のみ/ノイズ) TEKK,diff_only_ノイズ,計算表/追加/TEKK,計算表変数:89,,,-
計算表,(step1側のみ/ノイズ) CD:90,diff_only_ノイズ,計算表/追加/CD:90,計算表変数:90,,,-
計算表,(step1側のみ/ノイズ) CD:91,diff_only_ノイズ,計算表/追加/CD:91,計算表変数:91,,,-
計算表,(step1側のみ/ノイズ) CD:92,diff_only_ノイズ,計算表/追加/CD:92,計算表変数:92,,,-
計算表,(step1側のみ/ノイズ) CD:93,diff_only_ノイズ,計算表/追加/CD:93,計算表変数:93,,,-
計算表,(step1側のみ/ノイズ) CD:94,diff_only_ノイズ,計算表/追加/CD:94,計算表変数:94,,,-
計算表,(step1側のみ/ノイズ) CD:95,diff_only_ノイズ,計算表/追加/CD:95,計算表変数:95,,,-
計算表,(step1側のみ/ノイズ) CD:96,diff_only_ノイズ,計算表/追加/CD:96,計算表変数:96,,,-
計算表,(step1側のみ/ノイズ) <発注者マスタより受け取る変数>,diff_only_ノイズ,計算表/追加/<発注者マスタより受け取る変数>,計算表変数:97,,,-
計算表,(step1側のみ/ノイズ) O~TEK,diff_only_ノイズ,計算表/追加/O~TEK,計算表変数:98,,,-
計算表,(step1側のみ/ノイズ) Lv~TE,diff_only_ノイズ,計算表/追加/Lv~TE,計算表変数:99,,,-
計算表,(step1側のみ/ノイズ) O~TES,diff_only_ノイズ,計算表/追加/O~TES,計算表変数:100,,,-
計算表,(step1側のみ/ノイズ) Lv~TS,diff_only_ノイズ,計算表/追加/Lv~TS,計算表変数:101,,,-
計算表,(step1側のみ/ノイズ) D10R,diff_only_ノイズ,計算表/追加/D10R,計算表変数:102,,,-
計算表,(step1側のみ/ノイズ) D11R,diff_only_ノイズ,計算表/追加/D11R,計算表変数:103,,,-
計算表,(step1側のみ/ノイズ) D12R,diff_only_ノイズ,計算表/追加/D12R,計算表変数:104,,,-
計算表,(step1側のみ/ノイズ) D14B,diff_only_ノイズ,計算表/追加/D14B,計算表変数:105,,,-
計算表,(step1側のみ/ノイズ) D15B,diff_only_ノイズ,計算表/追加/D15B,計算表変数:106,,,-
計算表,(step1側のみ/ノイズ) D16B,diff_only_ノイズ,計算表/追加/D16B,計算表変数:107,,,-
計算表,(step1側のみ/ノイズ) D17R,diff_only_ノイズ,計算表/追加/D17R,計算表変数:108,,,-
計算表,(step1側のみ/ノイズ) D11B,diff_only_ノイズ,計算表/削除/D11B,計算表変数:55,,,-
計算表,(step1側のみ/ノイズ) D12B,diff_only_ノイズ,計算表/削除/D12B,計算表変数:56,,,-
計算表,(step1側のみ/ノイズ) D13B,diff_only_ノイズ,計算表/削除/D13B,計算表変数:57,,,-
計算表,(step1側のみ/ノイズ) D10S,diff_only_ノイズ,計算表/削除/D10S,計算表変数:58,,,-
計算表,(step1側のみ/ノイズ) D14R,diff_only_ノイズ,計算表/削除/D14R,計算表変数:70,,,-
計算表,(step1側のみ/ノイズ) CD:71,diff_only_ノイズ,計算表/削除/CD:71,計算表変数:71,,,-
計算表,(step1側のみ/ノイズ) CD:72,diff_only_ノイズ,計算表/削除/CD:72,計算表変数:72,,,-
計算表,(step1側のみ/ノイズ) CD:73,diff_only_ノイズ,計算表/削除/CD:73,計算表変数:73,,,-
計算表,(step1側のみ/ノイズ) CD:74,diff_only_ノイズ,計算表/削除/CD:74,計算表変数:74,,,-
計算表,(step1側のみ/ノイズ) CD:75,diff_only_ノイズ,計算表/削除/CD:75,計算表変数:75,,,-
計算表,(step1側のみ/ノイズ) CD:76,diff_only_ノイズ,計算表/削除/CD:76,計算表変数:76,,,-
計算表,(step1側のみ/ノイズ) CD:77,diff_only_ノイズ,計算表/削除/CD:77,計算表変数:77,,,-
計算表,(step1側のみ/ノイズ) CD:78,diff_only_ノイズ,計算表/削除/CD:78,計算表変数:78,,,-
計算表,(step1側のみ/ノイズ) CD:79,diff_only_ノイズ,計算表/削除/CD:79,計算表変数:79,,,-
質問,(step1側のみ/ノイズ) 鉄筋工市場単価,diff_only_ノイズ,質問/変更/鉄筋工市場単価,質問No:32,,,-
質問,(step1側のみ/ノイズ) 鉄筋径,diff_only_ノイズ,質問/変更/鉄筋径,質問No:45,,,-
質問,(step1側のみ/ノイズ) 鉄筋加工,diff_only_ノイズ,質問/変更/鉄筋加工,質問No:46,,,-
質問,(step1側のみ/ノイズ) 構造物種別,diff_only_ノイズ,質問/変更/構造物種別,質問No:47,,,-
質問,(step1側のみ/ノイズ) 鉄筋組立(一般構造物),diff_only_ノイズ,質問/変更/鉄筋組立(一般構造物),質問No:48,,,-
質問,(step1側のみ/ノイズ) 鉄筋組立(橋梁用床版),diff_only_ノイズ,質問/変更/鉄筋組立(橋梁用床版),質問No:49,,,-
質問,(step1側のみ/ノイズ) 鉄筋組立(場所打鉄筋かご),diff_only_ノイズ,質問/変更/鉄筋組立(場所打鉄筋かご),質問No:50,,,-
質問,(step1側のみ/ノイズ) 鉄筋組立(トンネル内構造物),diff_only_ノイズ,質問/変更/鉄筋組立(トンネル内構造物),質問No:51,,,-
質問,(step1側のみ/ノイズ) 鉄筋組立(差筋および杭頭処理),diff_only_ノイズ,質問/変更/鉄筋組立(差筋および杭頭処理),質問No:52,,,-
質問,(step1側のみ/ノイズ) 10本当り杭体内補強鉄筋数量,diff_only_ノイズ,質問/変更/10本当り杭体内補強鉄筋数量,質問No:53,,,-
質問,(step1側のみ/ノイズ) 市場単価採用誌判定,diff_only_ノイズ,質問/変更/市場単価採用誌判定,質問No:54,,,-
質問,(step1側のみ/ノイズ) 鉄筋工(標準歩掛・市場単価)計上方法,diff_only_ノイズ,質問/変更/鉄筋工(標準歩掛・市場単価)計上方法,質問No:56,,,-
質問,(step1側のみ/ノイズ) S10=0,diff_only_ノイズ,質問/変更/S10=0,質問No:57,,,-
質問,(step1側のみ/ノイズ) フロー切替:適用労務切替(山林砂防工),diff_only_ノイズ,質問/変更/フロー切替:適用労務切替(山林砂防工),質問No:58,,,-
質問,(step1側のみ/ノイズ) 10=代価表1枚目5行目,diff_only_ノイズ,質問/変更/10=代価表1枚目5行目,質問No:59,,,-
質問,(step1側のみ/ノイズ) 10=代価表1枚目6行目,diff_only_ノイズ,質問/変更/10=代価表1枚目6行目,質問No:60,,,-
質問,(step1側のみ/ノイズ) 10=代価表1枚目7行目,diff_only_ノイズ,質問/変更/10=代価表1枚目7行目,質問No:61,,,-
質問,(step1側のみ/ノイズ) 10=代価表1枚目8行目,diff_only_ノイズ,質問/変更/10=代価表1枚目8行目,質問No:62,,,-
質問,(step1側のみ/ノイズ) 鉄筋工,diff_only_ノイズ,質問/追加/鉄筋工,質問No:20,,,-
