カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:46,KG,270.0,320.0,固定値
計算表,追加,計算表変数:129,CD:129,-,,計算式
計算表,追加,計算表変数:130,CD:130,-,,計算式
計算表,追加,計算表変数:131,CD:131,-,,計算式
計算表,追加,計算表変数:132,CD:132,-,,計算式
計算表,追加,計算表変数:133,CD:133,-,,計算式
計算表,追加,計算表変数:134,CD:134,-,,計算式
計算表,追加,計算表変数:135,CD:135,-,,計算式
計算表,追加,計算表変数:136,CD:136,-,,計算式
計算表,追加,計算表変数:137,CD:137,-,,計算式
計算表,追加,計算表変数:138,CD:138,-,,計算式
計算表,追加,計算表変数:139,CD:139,-,,計算式
計算表,追加,計算表変数:140,CD:140,-,,計算式
計算表,削除,計算表変数:99,CD:99,,-,
計算表,削除,計算表変数:100,CD:100,,-,
計算表,削除,計算表変数:101,CD:101,,-,
計算表,削除,計算表変数:102,CD:102,,-,
計算表,削除,計算表変数:103,CD:103,,-,
計算表,削除,計算表変数:104,CD:104,,-,
計算表,削除,計算表変数:105,CD:105,,-,
計算表,削除,計算表変数:106,CD:106,,-,
計算表,削除,計算表変数:115,CD:115,,-,
計算表,削除,計算表変数:119,CD:119,,-,
計算表,削除,計算表変数:123,CD:123,,-,
計算表,削除,計算表変数:124,CD:124,,-,
