修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
計算表,(step1側のみ/ノイズ) KG,diff_only_ノイズ,計算表/変更/KG,計算表変数:46,,,-
計算表,(step1側のみ/ノイズ) CD:129,diff_only_ノイズ,計算表/追加/CD:129,計算表変数:129,,,-
計算表,(step1側のみ/ノイズ) CD:130,diff_only_ノイズ,計算表/追加/CD:130,計算表変数:130,,,-
計算表,(step1側のみ/ノイズ) CD:131,diff_only_ノイズ,計算表/追加/CD:131,計算表変数:131,,,-
計算表,(step1側のみ/ノイズ) CD:132,diff_only_ノイズ,計算表/追加/CD:132,計算表変数:132,,,-
計算表,(step1側のみ/ノイズ) CD:133,diff_only_ノイズ,計算表/追加/CD:133,計算表変数:133,,,-
計算表,(step1側のみ/ノイズ) CD:134,diff_only_ノイズ,計算表/追加/CD:134,計算表変数:134,,,-
計算表,(step1側のみ/ノイズ) CD:135,diff_only_ノイズ,計算表/追加/CD:135,計算表変数:135,,,-
計算表,(step1側のみ/ノイズ) CD:136,diff_only_ノイズ,計算表/追加/CD:136,計算表変数:136,,,-
計算表,(step1側のみ/ノイズ) CD:137,diff_only_ノイズ,計算表/追加/CD:137,計算表変数:137,,,-
計算表,(step1側のみ/ノイズ) CD:138,diff_only_ノイズ,計算表/追加/CD:138,計算表変数:138,,,-
計算表,(step1側のみ/ノイズ) CD:139,diff_only_ノイズ,計算表/追加/CD:139,計算表変数:139,,,-
計算表,(step1側のみ/ノイズ) CD:140,diff_only_ノイズ,計算表/追加/CD:140,計算表変数:140,,,-
計算表,(step1側のみ/ノイズ) CD:99,diff_only_ノイズ,計算表/削除/CD:99,計算表変数:99,,,-
計算表,(step1側のみ/ノイズ) CD:100,diff_only_ノイズ,計算表/削除/CD:100,計算表変数:100,,,-
計算表,(step1側のみ/ノイズ) CD:101,diff_only_ノイズ,計算表/削除/CD:101,計算表変数:101,,,-
計算表,(step1側のみ/ノイズ) CD:102,diff_only_ノイズ,計算表/削除/CD:102,計算表変数:102,,,-
計算表,(step1側のみ/ノイズ) CD:103,diff_only_ノイズ,計算表/削除/CD:103,計算表変数:103,,,-
計算表,(step1側のみ/ノイズ) CD:104,diff_only_ノイズ,計算表/削除/CD:104,計算表変数:104,,,-
計算表,(step1側のみ/ノイズ) CD:105,diff_only_ノイズ,計算表/削除/CD:105,計算表変数:105,,,-
計算表,(step1側のみ/ノイズ) CD:106,diff_only_ノイズ,計算表/削除/CD:106,計算表変数:106,,,-
計算表,(step1側のみ/ノイズ) CD:115,diff_only_ノイズ,計算表/削除/CD:115,計算表変数:115,,,-
計算表,(step1側のみ/ノイズ) CD:119,diff_only_ノイズ,計算表/削除/CD:119,計算表変数:119,,,-
計算表,(step1側のみ/ノイズ) CD:123,diff_only_ノイズ,計算表/削除/CD:123,計算表変数:123,,,-
計算表,(step1側のみ/ノイズ) CD:124,diff_only_ノイズ,計算表/削除/CD:124,計算表変数:124,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 0件,完全マッチ: 0,部分マッチ: 0,未マッチ: 0,,,緩和一致率: 0%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 0,
【最終判定】,,,,,,,最終一致率: 0%
【最終結論】,[OK] 実質的に問題なし,,,,,,
【step1側のみ(過剰)】,合計: 25,要確認候補: 0,ノイズ: 25,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 0,
