カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:43,SE~P,,O~Sep,計算式
計算表,変更,計算表変数:49,H30j1,1.0,,固定値→計算式
計算表,変更,計算表変数:51,tzsk,,1.0,計算式→固定値
計算表,変更,計算表変数:60,dv,,1.0,計算式→固定値
計算表,変更,計算表変数:61,F7,1.0,,固定値→計算式
計算表,変更,計算表変数:65,TA~SN,,1.0,計算式→固定値
計算表,変更,計算表変数:66,O~SAN,,1.0,計算式→固定値
計算表,変更,計算表変数:76,Lv_NK,2.0,,固定値→計算式
計算表,変更,計算表変数:80,LEVdv,,2.0,計算式→固定値
計算表,変更,計算表変数:82,<子へ送る変数>,S2,,計算式
計算表,変更,計算表変数:83,Rs1,S3,,計算式
計算表,変更,計算表変数:84,temap,S4,,計算式
計算表,変更,計算表変数:85,D1R,L~PN,S1,計算式
計算表,変更,計算表変数:86,D2R,S_ZR,S2,計算式
計算表,変更,計算表変数:87,D3R,S5,S3,計算式
計算表,変更,計算表変数:88,D4R,1.0,S4,固定値→計算式
計算表,追加,計算表変数:89,D4T,-,L~PN,計算式
計算表,追加,計算表変数:90,D5R,-,S_ZR,計算式
計算表,追加,計算表変数:91,D6R,-,S5,計算式
計算表,追加,計算表変数:92,ASVar,-,1.0,固定値
計算表,追加,計算表変数:93,CD:93,-,,計算式
計算表,追加,計算表変数:94,CD:94,-,,計算式
計算表,追加,計算表変数:95,CD:95,-,,計算式
計算表,追加,計算表変数:96,CD:96,-,,計算式
計算表,追加,計算表変数:97,CD:97,-,,計算式
計算表,追加,計算表変数:98,CD:98,-,,計算式
計算表,追加,計算表変数:99,CD:99,-,,計算式
計算表,追加,計算表変数:100,CD:100,-,,計算式
計算表,追加,計算表変数:101,CD:101,-,,計算式
計算表,追加,計算表変数:102,CD:102,-,,計算式
計算表,追加,計算表変数:103,CD:103,-,,計算式
計算表,追加,計算表変数:104,CD:104,-,,計算式
計算表,削除,計算表変数:7,CD:7,,-,
計算表,削除,計算表変数:13,CD:13,,-,
計算表,削除,計算表変数:19,CD:19,,-,
計算表,削除,計算表変数:26,CD:26,,-,
計算表,削除,計算表変数:45,tek,,-,
計算表,削除,計算表変数:54,CD:54,,-,
計算表,削除,計算表変数:56,L~NK,1.0,-,
計算表,削除,計算表変数:59,F7,,-,
計算表,削除,計算表変数:64,CD:64,,-,
計算表,削除,計算表変数:68,O~Dat,,-,
計算表,削除,計算表変数:74,L_NKD,,-,
計算表,削除,計算表変数:81,D1R,S1,-,
質問,変更,質問No:95,鉄筋径,鉄筋径,鉄筋径,バージョン更新
質問,変更,質問No:100,鉄筋材料規格・径,鉄筋材料規格・径,鉄筋材料規格・径,バージョン更新
質問,変更,質問No:101,鉄筋材料規格・径,鉄筋材料規格・径,鉄筋材料規格・径,バージョン更新
質問,変更,質問No:119,省庁分岐,代価表1枚目,省庁分岐,表示名変更 / バージョン更新
質問,変更,質問No:120,鉄筋材料規格・径,代価表2枚目,鉄筋材料規格・径,表示名変更 / バージョン更新
質問,変更,質問No:121,鉄筋材料規格・径,フロー切替:鉄筋材料選択,鉄筋材料規格・径,表示名変更 / バージョン更新
質問,変更,質問No:122,鉄筋材料規格・径,L~CK=25,鉄筋材料規格・径,表示名変更 / バージョン更新
質問,変更,質問No:123,鉄筋材料規格・径,フロー切替:ラフテレーンクレーンリースの長期割引、深夜割増,鉄筋材料規格・径,表示名変更 / バージョン更新
質問,変更,質問No:124,鉄筋材料規格・径,AT=当り数量,鉄筋材料規格・径,表示名変更 / バージョン更新
質問,変更,質問No:125,鉄筋材料規格・径,終点,鉄筋材料規格・径,表示名変更 / 実行種別変更(None→必ず実行) / バージョン更新
質問,変更,質問No:126,鉄筋材料規格・径,フロー切替:適用労務切替(山林砂防工),鉄筋材料規格・径,表示名変更 / バージョン更新
質問,変更,質問No:153,賃料補正選択方法,鉄筋材料区分,賃料補正選択方法,表示名変更 / 実行種別変更(None→必ず実行) / バージョン更新
質問,変更,質問No:154,クレーン賃料施工条件,鉄筋材料区分,クレーン賃料施工条件,表示名変更 / 実行種別変更(None→必ず実行) / バージョン更新
質問,変更,質問No:155,クレーン賃料補正係数,鉄筋材料区分,クレーン賃料補正係数,表示名変更 / 実行種別変更(None→必ず実行) / バージョン更新
質問,変更,質問No:156,代価表1枚目,鉄筋材料区分,代価表1枚目,表示名変更 / 実行種別変更(None→必ず実行)
質問,変更,質問No:157,代価表2枚目,鉄筋材料区分,代価表2枚目,表示名変更 / 実行種別変更(None→必ず実行)
質問,変更,質問No:158,フロー切替:鉄筋材料選択,鉄筋材料区分,フロー切替:鉄筋材料選択,表示名変更 / 実行種別変更(None→必ず実行)
質問,変更,質問No:159,L~CK=25,鉄筋材料区分,L~CK=25,表示名変更 / 実行種別変更(None→必ず実行) / バージョン更新
質問,変更,質問No:160,フロー切替:ラフテレーンクレーンリースの長期割引、深夜割増,鉄筋材料区分,フロー切替:ラフテレーンクレーンリースの長期割引、深夜割増,表示名変更 / 実行種別変更(None→必ず実行)
質問,変更,質問No:161,AT=当り数量,鉄筋材料区分,AT=当り数量,表示名変更 / 実行種別変更(None→必ず実行)
質問,変更,質問No:162,終点,鉄筋材料区分,終点,表示名変更
質問,変更,質問No:163,フロー切替:適用労務切替(山林砂防工),鉄筋材料区分,フロー切替:適用労務切替(山林砂防工),表示名変更 / 実行種別変更(None→必ず実行)
質問,変更,質問No:164,省庁分岐,鉄筋材料区分,省庁分岐,表示名変更 / バージョン更新
質問,変更,質問No:166,省庁分岐,鉄筋材料区分,省庁分岐,表示名変更 / バージョン更新
質問,変更,質問No:167,鉄筋材料区分,終点,鉄筋材料区分,表示名変更
質問,変更,質問No:168,鉄筋材料区分,フロー切替:クレーン賃料補正,鉄筋材料区分,表示名変更 / 実行種別変更(必ず実行→None)
質問,変更,質問No:169,鉄筋材料区分,終点,鉄筋材料区分,表示名変更
質問,変更,質問No:170,鉄筋材料区分,L~N=0,鉄筋材料区分,表示名変更 / 実行種別変更(必ず実行→None)
質問,変更,質問No:171,鉄筋材料区分,L~α=1,鉄筋材料区分,表示名変更 / 実行種別変更(必ず実行→None)
質問,変更,質問No:172,鉄筋材料区分,終点,鉄筋材料区分,表示名変更
質問,変更,質問No:173,鉄筋材料区分,補正値入力動作区分,鉄筋材料区分,表示名変更
質問,変更,質問No:174,鉄筋材料区分,終点,鉄筋材料区分,表示名変更
質問,追加,質問No:175,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:176,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:177,省庁分岐,-,選択式,2026/05/29 01:26:48
質問,追加,質問No:178,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:179,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:180,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:181,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:182,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:183,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:184,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:185,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:186,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:187,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:188,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:189,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:190,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:191,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:192,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:193,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:194,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:195,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:196,省庁分岐,-,選択式,2026/05/29 01:26:48
質問,追加,質問No:197,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:198,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:199,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:200,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:201,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:202,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:203,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:204,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:205,省庁分岐,-,選択式,2026/05/29 01:26:48
質問,追加,質問No:206,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:207,省庁分岐,-,選択式,2026/05/29 01:26:48
質問,追加,質問No:208,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:209,鉄筋材料区分,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:210,終点,-,終点,2017/04/01 00:00:00
質問,追加,質問No:211,フロー切替:クレーン賃料補正,-,SitsumonKind:119,2017/04/01 00:00:00
質問,追加,質問No:212,終点,-,終点,2017/04/01 00:00:00
質問,追加,質問No:213,フロー切替:クレーン賃料補正(東京都建設局),-,SitsumonKind:119,2017/04/01 00:00:00
質問,追加,質問No:214,L~N=0,-,選択式,2026/05/29 01:26:48
質問,追加,質問No:215,L~α=1,-,選択式,2026/05/29 01:26:48
