修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,条件表対応,unmatched,,,,,未評価
?,質問に東京都建設局タブを追加しSE~P=13の時のみ開くように作成,matched,質問/追加/フロー切替:クレーン賃料補正(東京都建設局),質問No:213,,,OK
?,条件名称にの文言追加,partial,計算表/追加/D4T,計算表変数:89,,,OK
?,B条件の「材料費は別途計上」に対応,unmatched,,,,,未評価
?,資材計上区分にB条件追記しサブルーチン解除＋東京都タブ追加,partial,計算表/追加/D5R,計算表変数:90,,,OK
?,施工費のみのところをB＝44に,partial,質問/削除/鉄筋材料区分,質問No:144,,,OK
?,条件C追加,matched,質問設定/変更/クレーン賃料施工条件,質問No:154,,,OK
?,を参考に動作追加,partial,計算表/追加/D6R,計算表変数:91,,,OK
?,質問「ｸﾚｰﾝ賃料施工条件」「ｸﾚｰﾝ賃料補正係数」「賃料補正選択方法」を作成,partial,質問/変更/賃料補正選択方法,質問No:153,,,OK
?,フロー「ｸﾚｰﾝ賃料補正(東京都建設局)」を作成,partial,質問/変更/クレーン賃料補正係数,質問No:155,,,OK
?,フロー「ﾗﾌﾃﾚｰﾝｸﾚｰﾝﾘｰｽの長期割引､深夜割増」に「賃料補正選択方法」の動作追加,matched,質問/変更/鉄筋材料規格・径,質問No:123,,,OK
?,条件B対応(資料通りの選択肢を追加),matched,選択肢/追加/クレーン賃料施工条件,質問No:154,,,OK
?,タブを追加し選択肢が無いものはwikiの「条件記号が空白の行」として対応,partial,計算表/追加/ASVar,計算表変数:92,,,OK
?,表-2通りの単価が計上されるように動作追加,partial,計算表/追加/CD:93,計算表変数:93,,,OK
?,規格計上の万能表を作成し計設定で動作するように設定,unmatched,,,,,未評価
?,を参考に動作追加,partial,計算表/追加/CD:94,計算表変数:94,,,OK
?,質問「省庁分岐」「材料区分」「材料単価」を追加,matched,質問/変更/省庁分岐,質問No:164,,,OK
計算表,(step1側のみ/ノイズ) SE~P,diff_only_ノイズ,計算表/変更/SE~P,計算表変数:43,,,-
計算表,(step1側のみ/ノイズ) H30j1,diff_only_ノイズ,計算表/変更/H30j1,計算表変数:49,,,-
計算表,(step1側のみ/ノイズ) tzsk,diff_only_ノイズ,計算表/変更/tzsk,計算表変数:51,,,-
計算表,(step1側のみ/ノイズ) dv,diff_only_ノイズ,計算表/変更/dv,計算表変数:60,,,-
計算表,(step1側のみ/ノイズ) F7,diff_only_ノイズ,計算表/変更/F7,計算表変数:61,,,-
計算表,(step1側のみ/ノイズ) TA~SN,diff_only_ノイズ,計算表/変更/TA~SN,計算表変数:65,,,-
計算表,(step1側のみ/ノイズ) O~SAN,diff_only_ノイズ,計算表/変更/O~SAN,計算表変数:66,,,-
計算表,(step1側のみ/ノイズ) Lv_NK,diff_only_ノイズ,計算表/変更/Lv_NK,計算表変数:76,,,-
計算表,(step1側のみ/ノイズ) LEVdv,diff_only_ノイズ,計算表/変更/LEVdv,計算表変数:80,,,-
計算表,(step1側のみ/ノイズ) <子へ送る変数>,diff_only_ノイズ,計算表/変更/<子へ送る変数>,計算表変数:82,,,-
計算表,(step1側のみ/ノイズ) Rs1,diff_only_ノイズ,計算表/変更/Rs1,計算表変数:83,,,-
計算表,(step1側のみ/ノイズ) temap,diff_only_ノイズ,計算表/変更/temap,計算表変数:84,,,-
計算表,(step1側のみ/ノイズ) D1R,diff_only_ノイズ,計算表/変更/D1R,計算表変数:85,,,-
計算表,(step1側のみ/ノイズ) D2R,diff_only_ノイズ,計算表/変更/D2R,計算表変数:86,,,-
