軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,代価表単位の選択,auto,1,代価表単位の選択(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-002,代価表の当り数量,auto,96,代価表の当り数量(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-003,資材計上区分,vary,97,資材計上区分,選択肢テキスト変更,SitsumonKind=19,
AX-004,鉄筋材料規格・径,vary,102,鉄筋材料規格・径,選択肢テキスト変更,SitsumonKind=19,
AX-005,鉄筋材料区分,auto,51,鉄筋材料区分(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-006,鉄筋材料費の単位選択,fix,48,鉄筋材料費の単位選択,,SitsumonKind=19,
AX-007,(クレーン)賃料長期割引の適用,fix,103,(クレーン)賃料長期割引の適用,,SitsumonKind=19,
AX-008,クレーン賃料補正,auto,107,クレーン賃料補正(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-009,鉄筋材料規格・径,vary,49,鉄筋材料規格・径,選択肢テキスト変更,SitsumonKind=19,
AX-010,鉄筋材料規格・径,vary,50,鉄筋材料規格・径,選択肢テキスト変更,SitsumonKind=19,
AX-011,鉄筋材料規格・径,vary,98,鉄筋材料規格・径,選択肢テキスト変更,SitsumonKind=19,
AX-012,鉄筋材料規格・径,vary,99,鉄筋材料規格・径,選択肢テキスト変更,SitsumonKind=19,
AX-013,鉄筋材料規格・径,vary,100,鉄筋材料規格・径,選択肢テキスト変更,SitsumonKind=19,
AX-014,鉄筋材料規格・径,vary,101,鉄筋材料規格・径,選択肢テキスト変更,SitsumonKind=19,
AX-015,鉄筋材料規格・径,vary,121,鉄筋材料規格・径,選択肢追加,SitsumonKind=19,
AX-016,鉄筋材料規格・径,vary,122,鉄筋材料規格・径,選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-017,鉄筋材料規格・径,vary,123,鉄筋材料規格・径,選択肢追加,SitsumonKind=19,
AX-018,鉄筋材料規格・径,vary,124,鉄筋材料規格・径,選択肢追加,SitsumonKind=19,
AX-019,鉄筋材料規格・径,vary,125,鉄筋材料規格・径,選択肢追加,SitsumonKind=19,
AX-020,鉄筋材料規格・径,vary,126,鉄筋材料規格・径,選択肢追加,SitsumonKind=19,
AX-021,クレーン賃料施工条件,vary,154,クレーン賃料施工条件,選択肢追加,SitsumonKind=19,
